,cross_val_acc,training_acc,test_acc,train_size,solver,learning_rate_init,max_iter,momentum,hidden_layer_sizes
0,0.757476838,0.767838366,0.767262531,13314,sgd,0.001,50,0.2,"(13, 13, 13)"
1,0.729694999,0.717209652,0.737819839,10651,sgd,0.001,50,0.2,"(13, 13, 13)"
2,0.737979806,0.720831247,0.747458815,7988,sgd,0.001,50,0.2,"(13, 13, 13)"
3,0.684474547,0.721502347,0.748685594,5325,sgd,0.001,50,0.2,"(13, 13, 13)"
4,0.691965608,0.700976709,0.737995093,2662,sgd,0.001,50,0.2,"(13, 13, 13)"
5,0.744629298,0.742376446,0.77444795,13314,sgd,0.001,50,0.5,"(13, 13, 13)"
6,0.753735293,0.774293494,0.741675429,10651,sgd,0.001,50,0.5,"(13, 13, 13)"
7,0.740733875,0.734977466,0.747809324,7988,sgd,0.001,50,0.5,"(13, 13, 13)"
8,0.720748686,0.759061033,0.689624956,5325,sgd,0.001,50,0.5,"(13, 13, 13)"
9,0.690110595,0.729526672,0.67104802,2662,sgd,0.001,50,0.5,"(13, 13, 13)"
10,0.796528198,0.806369235,0.823519103,13314,sgd,0.001,50,0.9,"(13, 13, 13)"
11,0.782841822,0.818420806,0.788818787,10651,sgd,0.001,50,0.9,"(13, 13, 13)"
12,0.777546338,0.804331497,0.791272345,7988,sgd,0.001,50,0.9,"(13, 13, 13)"
13,0.759260295,0.785352113,0.796529968,5325,sgd,0.001,50,0.9,"(13, 13, 13)"
14,0.716750836,0.746431255,0.714160533,2662,sgd,0.001,50,0.9,"(13, 13, 13)"
15,0.750641988,0.731936308,0.781458114,13314,sgd,0.001,100,0.2,"(13, 13, 13)"
16,0.745853257,0.76509248,0.770592359,10651,sgd,0.001,100,0.2,"(13, 13, 13)"
17,0.72120445,0.73985979,0.740273396,7988,sgd,0.001,100,0.2,"(13, 13, 13)"
18,0.722808419,0.716995305,0.747283561,5325,sgd,0.001,100,0.2,"(13, 13, 13)"
19,0.66566322,0.67918858,0.530669471,2662,sgd,0.001,100,0.2,"(13, 13, 13)"
20,0.759501325,0.792924741,0.777602524,13314,sgd,0.001,100,0.5,"(13, 13, 13)"
21,0.756083591,0.755609802,0.78128286,10651,sgd,0.001,100,0.5,"(13, 13, 13)"
22,0.749502981,0.756009014,0.750087627,7988,sgd,0.001,100,0.5,"(13, 13, 13)"
23,0.728071413,0.751361502,0.737294076,5325,sgd,0.001,100,0.5,"(13, 13, 13)"
24,0.705124208,0.744552968,0.735191027,2662,sgd,0.001,100,0.5,"(13, 13, 13)"
25,0.804341872,0.828977017,0.818962496,13314,sgd,0.001,100,0.9,"(13, 13, 13)"
26,0.802927613,0.815416393,0.818436733,10651,sgd,0.001,100,0.9,"(13, 13, 13)"
27,0.782551341,0.804707061,0.803189625,7988,sgd,0.001,100,0.9,"(13, 13, 13)"
28,0.756249963,0.749107981,0.806869961,5325,sgd,0.001,100,0.9,"(13, 13, 13)"
29,0.734422125,0.765214125,0.759376095,2662,sgd,0.001,100,0.9,"(13, 13, 13)"
30,0.761005027,0.760177257,0.770241851,13314,sgd,0.001,150,0.2,"(13, 13, 13)"
31,0.738898816,0.770350202,0.736943568,10651,sgd,0.001,150,0.2,"(13, 13, 13)"
32,0.729723872,0.699298948,0.793550648,7988,sgd,0.001,150,0.2,"(13, 13, 13)"
33,0.716048557,0.702910798,0.735191027,5325,sgd,0.001,150,0.2,"(13, 13, 13)"
34,0.680674717,0.758452292,0.684542587,2662,sgd,0.001,150,0.2,"(13, 13, 13)"
35,0.767831217,0.762280306,0.772695408,13314,sgd,0.001,150,0.5,"(13, 13, 13)"
36,0.753351155,0.784808938,0.715036803,10651,sgd,0.001,150,0.5,"(13, 13, 13)"
37,0.7568858,0.764772158,0.742376446,7988,sgd,0.001,150,0.5,"(13, 13, 13)"
38,0.707777352,0.720938967,0.731685945,5325,sgd,0.001,150,0.5,"(13, 13, 13)"
39,0.724259758,0.707362885,0.76340694,2662,sgd,0.001,150,0.5,"(13, 13, 13)"
40,0.807496914,0.823118522,0.822467578,13314,sgd,0.001,150,0.9,"(13, 13, 13)"
41,0.804993957,0.80123932,0.810024536,10651,sgd,0.001,150,0.9,"(13, 13, 13)"
42,0.783303221,0.811216825,0.796705223,7988,sgd,0.001,150,0.9,"(13, 13, 13)"
43,0.769393213,0.777464789,0.77532422,5325,sgd,0.001,150,0.9,"(13, 13, 13)"
44,0.750571316,0.743425995,0.740098142,2662,sgd,0.001,150,0.9,"(13, 13, 13)"
45,0.795629244,0.800811176,0.818611987,13314,sgd,0.01,50,0.2,"(13, 13, 13)"
46,0.782369915,0.803210966,0.798983526,10651,sgd,0.01,50,0.2,"(13, 13, 13)"
47,0.771533809,0.796945418,0.805993691,7988,sgd,0.01,50,0.2,"(13, 13, 13)"
48,0.752092046,0.724319249,0.770241851,5325,sgd,0.01,50,0.2,"(13, 13, 13)"
49,0.710763306,0.734410218,0.76638626,2662,sgd,0.01,50,0.2,"(13, 13, 13)"
50,0.807570015,0.80539282,0.803890641,13314,sgd,0.01,50,0.5,"(13, 13, 13)"
51,0.796733116,0.761430852,0.818611987,10651,sgd,0.01,50,0.5,"(13, 13, 13)"
52,0.785422411,0.795818728,0.804065896,7988,sgd,0.01,50,0.5,"(13, 13, 13)"
53,0.770897502,0.790046948,0.793375394,5325,sgd,0.01,50,0.5,"(13, 13, 13)"
54,0.754699601,0.764838467,0.731160182,2662,sgd,0.01,50,0.5,"(13, 13, 13)"
55,0.745915471,0.771218266,0.808622503,13314,sgd,0.01,50,0.9,"(13, 13, 13)"
56,0.776180092,0.822082434,0.753767964,10651,sgd,0.01,50,0.9,"(13, 13, 13)"
57,0.783797886,0.816850275,0.646512443,7988,sgd,0.01,50,0.9,"(13, 13, 13)"
58,0.648827631,0.647323944,0.788293025,5325,sgd,0.01,50,0.9,"(13, 13, 13)"
59,0.676559833,0.636739294,0.784612688,2662,sgd,0.01,50,0.9,"(13, 13, 13)"
60,0.769339628,0.806369235,0.818086225,13314,sgd,0.01,100,0.2,"(13, 13, 13)"
61,0.772973987,0.781804525,0.807746232,10651,sgd,0.01,100,0.2,"(13, 13, 13)"
62,0.768153488,0.779168753,0.800736067,7988,sgd,0.01,100,0.2,"(13, 13, 13)"
63,0.748725694,0.790610329,0.742726954,5325,sgd,0.01,100,0.2,"(13, 13, 13)"
64,0.664610165,0.782870023,0.748685594,2662,sgd,0.01,100,0.2,"(13, 13, 13)"
65,0.808995962,0.819062641,0.81107606,13314,sgd,0.01,100,0.5,"(13, 13, 13)"
