@relation 'magic04-weka.filters.unsupervised.attribute.Remove-R3-5,10'

@attribute fLength numeric
@attribute fWidth numeric
@attribute fAsym numeric
@attribute fM3Long numeric
@attribute fM3Trans numeric
@attribute fAlpha numeric
@attribute class {g,h}

@data
28.7967,16.0021,27.7004,22.011,-8.2027,40.092,g
31.6036,11.7235,26.2722,23.8238,-9.9574,6.3609,g
162.052,136.031,116.741,-64.858,-45.216,76.96,g
23.8172,9.5728,27.2107,-6.4633,-7.1513,10.449,g
75.1362,30.9205,-5.5277,28.5525,21.8393,4.648,g
51.624,21.1502,50.8761,43.1887,9.8145,3.613,g
48.2468,17.3565,8.573,38.0957,10.5868,4.792,g
26.7897,13.7595,29.6339,20.456,-2.9292,0.812,g
96.2327,46.5165,110.355,85.0486,43.1844,4.854,g
46.7619,15.1993,24.7548,43.8771,-6.6812,7.875,g
62.7766,29.9104,-33.9065,57.5848,23.771,9.9144,g
18.8562,16.46,25.1269,-6.5401,-16.9327,11.461,g
45.6321,22.71,-18.3986,-20.6427,-14.3164,0.3822,g
33.1818,12.4655,-17.0341,-22.0762,-8.1803,41.929,g
60.458,33.1061,14.3,-33.8765,28.8315,8.292,g
29.4741,22.4581,18.1242,22.7035,13.1673,48.0364,g
36.1741,17.6865,-4.7746,-18.9697,11.3256,0.254,g
46.2915,16.0328,49.9706,33.3653,-12.7979,38.707,g
46.0588,18.787,49.2704,34.1066,10.7955,8.686,g
44.7394,15.6364,14.043,37.2246,12.4183,3.251,g
91.6423,71.8818,-56.7107,72.3016,60.019,16.622,g
86.0486,21.8287,-58.7854,57.8212,-18.8093,2.005,g
90.5299,17.8721,-57.417,84.6189,14.9662,2.039,g
20.3836,9.0462,22.27,12.9487,-2.0403,43.0032,g
87.2384,27.935,-18.2102,66.6867,-11.3438,4.4265,g
107.338,29.1356,-47.1175,89.5136,-20.0479,3.312,g
27.2304,19.2817,23.0406,23.3428,9.7216,77.5379,g
26.7065,18.907,9.1616,18.6858,-11.6888,26.881,g
23.5647,9.9926,30.0056,-13.8665,-8.26,26.5328,g
34.7486,19.2286,30.3637,-16.3092,14.3186,1.521,g
50.4829,25.9699,32.1193,39.0162,-18.1839,22.471,g
87.4217,26.7866,10.4779,68.3446,-24.0948,0.3647,g
34.9205,15.9621,15.8025,11.8249,11.9768,9.59,g
28.6609,19.1223,-10.3243,-23.1846,11.4633,20.7574,g
75.2057,31.6833,-58.1243,43.08,10.3219,1.5926,g
84.61,36.4657,54.4505,86.0228,16.1472,17.575,g
45.6094,20.8103,-0.5056,37.7755,-9.2036,4.25,g
37.742,24.3346,5.998,34.4104,13.7756,24.216,g
38.1817,15.9235,10.1326,26.1095,-3.1071,2.572,g
73.6263,35.582,-48.0377,42.6119,-26.2742,4.471,g
63.3453,24.3855,-48.6381,-19.4147,16.9773,0.64,g
16.7608,11.3962,-0.8645,5.0177,-5.7427,62.618,g
27.6746,18.9149,30.937,20.242,15.143,19.3719,g
13.2617,10.7145,14.7178,2.4666,-11.8517,68.604,g
61.6463,21.171,54.8329,52.4882,-18.9858,4.2131,g
18.6533,15.1674,-4.2971,16.0316,8.0971,4.7998,g
38.1627,25.1091,37.2749,22.8564,16.227,5.5119,g
12.974,10.9058,13.7506,-6.2434,-6.5973,42.2408,g
63.2886,26.427,-27.3566,54.6506,19.7834,0.9753,g
24.999,14.6867,5.8044,19.2386,-10.3623,9.862,g
35.9913,19.4494,-34.0069,-25.3956,-6.3628,0.2425,g
44.0846,23.0143,25.9525,-35.1309,19.3011,16.119,g
65.3574,22.3483,-89.2907,-31.2444,-19.7587,4.874,g
43.7724,20.353,32.9358,38.4208,11.1037,16.25,g
33.4858,15.0766,33.3189,19.1818,-6.8774,12.9506,g
92.8723,25.685,-25.5033,51.797,-19.0013,7.7301,g
19.6562,9.7376,-24.0292,-9.836,-2.8001,63.03,g
96.8578,39.4755,-59.0369,66.0291,-26.431,3.8107,g
95.5207,34.5134,21.1988,88.912,-15.3593,0.084,g
22.7945,14.8676,-8.7481,-20.3785,12.765,6.7835,g
66.7336,24.94,27.3604,67.0539,-7.3935,9.941,g
45.0172,18.4512,-10.746,-37.5851,-13.6786,8.718,g
99.6416,13.5477,48.7119,92.2613,7.7025,74.5664,g
20.8112,7.1717,-1.5465,8.9641,-6.0245,85.103,g
96.3755,31.3902,-34.801,61.0636,20.5479,9.782,g
30.3331,14.9817,-32.2094,-20.1641,-5.1006,0.9075,g
20.9491,7.0366,-22.9802,-12.1656,6.0883,40.656,g
49.6143,28.1482,44.0893,26.0127,22.939,0.67,g
26.9766,9.7238,-12.3167,16.287,1.6476,3.675,g
29.817,19.8364,10.0066,23.9409,15.0702,15.9328,g
23.0242,13.2275,-25.6063,-10.429,5.5499,33.4008,g
66.1331,25.9259,42.2957,50.5528,-12.7104,11.5159,g
34.9502,16.0121,-12.5192,11.1413,-7.5776,17.6684,g
23.6353,11.4736,-15.6487,-18.8315,-9.9017,43.565,g
20.4754,15.7636,2.48,-10.4986,-3.923,13.8089,g
59.7337,17.0227,51.0255,54.5868,-14.0979,5.094,g
22.6397,10.2608,23.4366,18.6537,-10.8294,14.3756,g
92.937,22.1354,18.6509,48.5227,14.2821,3.497,g
86.5636,36.8235,-24.0564,60.9768,26.1668,2.643,g
39.3737,12.0817,18.1724,13.6391,6.5266,3.7449,g
41.2629,20.9786,23.2559,43.3331,12.715,7.6147,g
89.8648,33.6384,22.0971,98.5182,14.069,3.689,g
24.999,17.775,-16.3719,-25.5307,14.8483,81.8671,g
19.5793,14.6976,-6.8054,17.3916,-4.9889,13.17,g
21.8344,6.832,25.981,-0.1704,6.6103,35.4993,g
87.5837,33.3742,99.2131,75.0174,-14.3854,2.428,g
53.7339,15.4395,-45.8108,-40.3603,-9.3853,1.886,g
34.889,19.6402,29.9825,29.1531,12.4846,8.376,g
41.0677,16.2578,47.4405,37.9125,16.1237,17.671,g
60.0261,12.245,3.5656,55.2047,8.5485,1.3841,g
70.0322,30.2255,-66.4032,48.4611,-24.9966,2.936,g
74.5714,23.0735,-36.5281,63.076,-12.2594,4.029,g
77.9219,31.8209,-2.4392,58.1668,-14.371,0.2442,g
39.1755,26.3821,-38.1241,25.4219,17.0574,6.4974,g
18.1607,10.4502,1.7266,-7.66,-6.3001,43.3661,g
25.4762,12.0898,7.0323,15.7982,6.2085,24.847,g
23.4494,16.2843,-8.8017,-15.9867,10.389,83.8081,g
32.0586,15.6976,-2.3114,-17.7455,-11.3244,12.1807,g
18.4475,11.7563,-0.0948,-6.5384,11.397,69.2291,g
41.4001,25.658,39.265,30.5051,-23.3496,0.6344,g
92.5854,11.2825,-68.649,-48.92,6.7814,2.5099,g
29.3424,16.1814,-51.8263,23.7665,7.7365,39.189,g
47.8275,18.509,28.7838,-29.0817,-7.859,4.798,g
73.2547,19.5552,-44.1258,34.5939,16.6915,23.149,g
26.0862,12.5473,16.3451,14.9018,5.6343,4.1527,g
94.2369,17.6341,-97.071,50.552,-14.982,1.854,g
38.1089,15.08,-21.4336,-29.3931,13.3864,13.741,g
33.5874,17.46,-49.0296,-7.6514,5.127,25.657,g
50.8293,20.0939,38.7703,41.463,9.3292,3.6565,g
25.0275,12.8142,-12.5331,-8.9993,12.3285,65.2451,g
26.8928,17.7678,-1.6706,-8.159,-15.8111,23.821,g
28.0883,6.8084,-7.7092,-17.4113,-2.8594,27.549,g
35.8144,12.3164,17.8018,20.673,-6.2792,23.123,g
29.3108,14.6309,6.1452,-19.1932,11.3697,24.109,g
19.6419,0,-0.5678,5.2697,0,34.817,g
23.6924,8.8987,23.9812,14.1032,-7.0892,27.014,g
27.4888,18.5665,2.8405,6.1522,-10.0668,23.5868,g
117.749,33.2446,98.9071,129.932,-17.914,2.582,g
26.8971,19.2128,-12.9068,4.6154,8.1139,41.065,g
13.1994,10.8032,-14.5262,1.8356,-11.7029,54.0277,g
25.1576,12.8638,-24.1639,11.1073,7.8713,47.777,g
18.2028,15.8708,18.9639,18.329,5.3072,2.5957,g
70.6584,19.8319,-96.9809,52.5046,-12.6086,0.45,g
101.703,39.5491,-157.872,70.4115,22.1504,4.0677,g
58.1232,23.5601,-49.22,-33.4621,11.5684,20.194,g
20.7445,17.3249,11.7553,17.0726,-12.0534,25.7775,g
56.2418,16.5703,71.8585,39.648,10.7621,1.574,g
70.2768,24.5132,83.3498,48.9676,-12.3834,2.9261,g
81.2317,32.2546,35.5667,66.9446,12.8892,4.155,g
32.7059,17.1981,46.6935,13.1053,15.3472,40.3711,g
42.3725,20.2021,-4.4911,26.362,-11.1395,0.6925,g
80.3994,14.9183,36.0787,76.0508,-10.599,5.066,g
25.5688,19.0735,16.7068,25.194,-14.8757,74.308,g
16.9286,11.2814,-1.2345,5.8021,6.0007,18.5125,g
18.8734,17.772,-14.6576,-16.9343,-14.4939,17.1286,g
34.1619,21.2966,-4.6579,-11.6112,11.8667,11.6079,g
30.0005,21.6966,23.3297,17.6318,-18.5123,27.943,g
41.3848,32.4617,-20.4985,28.2927,28.1989,9.628,g
25.2228,13.6075,-12.181,-12.8844,11.3032,66.649,g
21.6891,10.3849,5.8526,-17.6826,10.2235,1.5485,g
20.5839,12.8876,12.5054,12.7741,-8.1001,26.586,g
25.2091,10.6551,10.6071,21.1038,3.9151,41.563,g
35.7062,13.2892,-32.1031,-25.7479,7.0429,1.2543,g
62.6886,22.612,-100.913,-25.4533,16.5613,3.121,g
19.7366,7.3095,-3.5091,10.3719,-4.8598,24.7838,g
48.4695,18.1279,19.6222,46.8981,-10.5913,6.955,g
22.5702,0,5.3609,-15.2145,0,80.3449,g
18.249,10.4383,22.8063,10.1469,5.3027,15.8259,g
28.4148,13.01,28.2765,20.1871,10.6797,13.6965,g
47.6,13.413,41.1158,33.8544,8.2134,2.608,g
33.3528,17.6866,15.898,27.6711,-8.487,8.709,g
97.794,26.8347,29.7042,95.3544,12.0158,3.2128,g
13.1155,10.1083,12.3051,7.4928,10.0776,58.845,g
52.8479,21.5505,-53.2694,27.9502,-20.7681,6.087,g
40.6097,20.5874,-5.5945,16.0028,-10.1794,0.774,g
65.6069,33.6033,-84.0021,43.5019,-23.9483,0.7567,g
63.8128,26.2233,44.5465,46.5522,18.3607,1.919,g
22.5539,9.7776,-4.0544,16.5945,10.4839,9.215,g
59.817,14.838,-110.45,53.9825,12.1712,5.235,g
27.1044,9.7779,-12.2606,-14.8614,-11.7431,29.844,g
21.776,12.7202,8.4346,15.5208,-9.1862,22.3655,g
20.6454,6.839,20.3461,14.9016,5.7986,2.7533,g
91.6174,39.9496,-105.167,83.687,32.7482,3.0094,g
60.8598,18.7033,42.4917,33.7518,12.0692,4.182,g
35.577,15.0526,15.679,14.3568,4.1406,2.0711,g
31.6173,24.2115,-23.7309,2.8864,-11.5139,22.951,g
85.9355,29.9215,-44.0508,-20.0659,-14.117,4.7597,g
20.0777,12.6181,14.1429,15.066,7.8845,36.457,g
59.6124,30.8693,26.7671,54.7397,-29.0666,1.1057,g
72.969,19.2006,-47.3236,42.1489,-10.2088,4.087,g
