@relation 'magic04_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.5-A12-M-1'

@attribute 0.449fSize-0.442fConc-0.429fConc1+0.408fLength+0.395fWidth+0.257fDist-0.145fAsym-0.097fAlpha+0.012fM3Trans+0.005fM3Long numeric
@attribute '0.6  fM3Long+0.487fAsym-0.457fAlpha-0.245fWidth-0.226fLength-0.196fConc1-0.188fConc+0.093fSize-0.031fM3Trans+0.012fDist' numeric
@attribute class {g,h}

@data
-1.016523,0.369247,g
-1.679917,0.549211,g
5.966085,-1.831268,g
-2.556993,0.031628,g
1.655809,0.552887,g
0.804502,1.57568,g
0.748046,1.194014,g
-0.645988,1.027573,g
3.638001,2.493165,g
-0.565947,1.136769,g
2.00676,0.846166,g
-1.614519,0.236949,g
0.962668,0.419877,g
-1.588395,-0.717881,g
0.973649,-0.301852,g
-0.131177,0.185282,g
0.394515,0.481606,g
-0.647301,0.71225,g
0.718968,1.448768,g
0.087202,1.122036,g
4.334783,0.362043,g
1.945641,0.772594,g
1.794449,1.135533,g
-2.921457,-0.358448,g
1.427017,0.875454,g
3.0414,1.322905,g
-0.980227,-0.357553,g
-1.090531,0.311387,g
-2.176142,-0.183298,g
-0.666283,0.520599,g
1.110884,1.177483,g
2.054654,1.390385,g
-0.121218,0.780602,g
-0.012214,-0.076282,g
2.154338,0.610345,g
2.694947,1.847065,g
0.837823,1.206332,g
0.453962,0.740844,g
-0.088829,1.02198,g
2.507974,0.608487,g
1.91784,0.069473,g
-2.243163,-0.820264,g
-0.549343,0.646113,g
-3.521189,-1.181346,g
1.530138,1.87612,g
-2.059946,0.26649,g
0.813692,1.236603,g
-3.379442,-0.902644,g
2.014162,1.101788,g
-0.930028,0.618409,g
0.062601,0.046295,g
0.923761,0.333701,g
1.025357,-0.637743,g
0.7165,1.159766,g
-0.353017,0.93353,g
1.809218,0.75024,g
-2.408332,-1.201412,g
3.81525,0.978894,g
3.480147,2.088439,g
-1.536661,-0.143569,g
1.863132,1.704629,g
0.1593,-0.016324,g
-0.818994,0.355844,g
-2.710502,-1.332953,g
2.360808,0.700705,g
-1.314263,-0.136067,g
-2.988369,-1.101729,g
1.339253,1.469245,g
-1.179096,0.498393,g
