@relation 'magic04_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A12-M-1'

@attribute 0.449fSize-0.442fConc-0.429fConc1+0.408fLength+0.395fWidth+0.257fDist-0.145fAsym-0.097fAlpha+0.012fM3Trans+0.005fM3Long numeric
@attribute '0.6  fM3Long+0.487fAsym-0.457fAlpha-0.245fWidth-0.226fLength-0.196fConc1-0.188fConc+0.093fSize-0.031fM3Trans+0.012fDist' numeric
@attribute -0.603fM3Trans-0.47fAlpha+0.454fDist-0.377fAsym-0.153fWidth+0.139fConc1+0.129fConc-0.071fSize-0.058fM3Long-0.001fLength numeric
@attribute -0.795fM3Trans+0.386fAlpha-0.364fDist+0.214fAsym-0.116fConc1-0.109fConc+0.095fWidth+0.057fSize+0.054fM3Long+0.025fLength numeric
@attribute class {g,h}

@data
-1.016523,0.369247,-0.809929,1.121598,g
-1.679917,0.549211,0.981589,-0.221176,g
5.966085,-1.831268,-1.497166,3.728859,g
-2.556993,0.031628,0.441375,0.031437,g
1.655809,0.552887,0.555498,-1.771565,g
0.804502,1.57568,-0.167645,-0.531521,g
0.748046,1.194014,-0.008487,-0.640471,g
-0.645988,1.027573,0.755336,-0.474639,g
3.638001,2.493165,-2.154463,-1.07038,g
-0.565947,1.136769,-0.187095,0.537876,g
2.00676,0.846166,0.211977,-1.567336,g
-1.614519,0.236949,0.741704,0.387696,g
0.962668,0.419877,0.67676,0.361938,g
-1.588395,-0.717881,-0.593225,1.011974,g
0.973649,-0.301852,0.493462,-2.206476,g
-0.131177,0.185282,-0.849434,-0.147223,g
0.394515,0.481606,0.078138,-0.753456,g
-0.647301,0.71225,-0.909588,1.463426,g
0.718968,1.448768,-0.620192,-0.225457,g
0.087202,1.122036,0.088231,-0.841986,g
4.334783,0.362043,-1.709098,-2.250027,g
1.945641,0.772594,1.726705,-0.109872,g
1.794449,1.135533,0.51469,-1.197866,g
-2.921457,-0.358448,-0.574076,0.552246,g
1.427017,0.875454,1.534292,-0.484826,g
3.0414,1.322905,1.291414,0.311349,g
-0.980227,-0.357553,-1.872423,0.888716,g
-1.090531,0.311387,-0.433514,1.048664,g
-2.176142,-0.183298,0.502488,0.053613,g
-0.666283,0.520599,-0.60555,-0.448285,g
1.110884,1.177483,-0.319347,1.337969,g
2.054654,1.390385,1.8686,-0.01065,g
-0.121218,0.780602,-0.418859,-0.418308,g
-0.012214,-0.076282,-0.131737,-0.588047,g
2.154338,0.610345,0.620696,-1.031351,g
2.694947,1.847065,-0.944201,-0.288909,g
0.837823,1.206332,0.213898,0.404683,g
0.453962,0.740844,-1.024281,-0.027535,g
-0.088829,1.02198,0.309702,-0.066979,g
2.507974,0.608487,2.109506,-0.00311,g
1.91784,0.069473,0.603384,-1.446894,g
-2.243163,-0.820264,-0.162518,0.488112,g
-0.549343,0.646113,-0.263054,-0.768429,g
-3.521189,-1.181346,-0.292415,0.935387,g
1.530138,1.87612,0.466054,0.73205,g
-2.059946,0.26649,-0.288306,-0.277304,g
0.813692,1.236603,-0.646973,-0.535619,g
-3.379442,-0.902644,0.464521,-0.005435,g
2.014162,1.101788,0.332019,-1.426133,g
-0.930028,0.618409,0.597121,0.143957,g
0.062601,0.046295,0.762155,-0.178815,g
0.923761,0.333701,-0.675469,-0.679421,g
1.025357,-0.637743,1.932789,-0.197117,g
0.7165,1.159766,-0.055931,-0.674181,g
-0.353017,0.93353,0.089505,0.305839,g
1.809218,0.75024,1.432724,0.086927,g
-2.408332,-1.201412,-0.385856,0.523986,g
3.81525,0.978894,1.692978,0.375169,g
3.480147,2.088439,0.405295,0.61828,g
-1.536661,-0.143569,-0.131863,-0.68176,g
1.863132,1.704629,0.033738,0.411832,g
0.1593,-0.016324,0.669768,0.319456,g
-0.818994,0.355844,-2.204322,1.299257,g
-2.710502,-1.332953,0.022947,0.370035,g
2.360808,0.700705,0.190683,-1.332733,g
-1.314263,-0.136067,0.342402,0.074954,g
-2.988369,-1.101729,0.154371,-0.467223,g
1.339253,1.469245,-1.175639,-0.528922,g
