@relation 'magic04_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A12-M-1'

@attribute 0.449fSize-0.442fConc-0.429fConc1+0.408fLength+0.395fWidth+0.257fDist-0.145fAsym-0.097fAlpha+0.012fM3Trans+0.005fM3Long numeric
@attribute '0.6  fM3Long+0.487fAsym-0.457fAlpha-0.245fWidth-0.226fLength-0.196fConc1-0.188fConc+0.093fSize-0.031fM3Trans+0.012fDist' numeric
@attribute -0.603fM3Trans-0.47fAlpha+0.454fDist-0.377fAsym-0.153fWidth+0.139fConc1+0.129fConc-0.071fSize-0.058fM3Long-0.001fLength numeric
@attribute -0.795fM3Trans+0.386fAlpha-0.364fDist+0.214fAsym-0.116fConc1-0.109fConc+0.095fWidth+0.057fSize+0.054fM3Long+0.025fLength numeric
@attribute 0.599fM3Long+0.526fAlpha+0.521fDist+0.206fConc1+0.181fConc+0.119fLength+0.058fWidth-0.023fAsym+0.016fSize+0.008fM3Trans numeric
@attribute 0.722fAsym-0.46fM3Long+0.459fDist+0.169fWidth+0.116fConc1+0.104fConc-0.057fM3Trans+0.028fSize+0.015fLength-0.003fAlpha numeric
@attribute 0.495fWidth+0.437fLength+0.389fConc1-0.365fAlpha+0.331fConc-0.319fDist+0.234fM3Long+0.114fAsym-0.014fM3Trans+0.001fSize numeric
@attribute class {g,h}

@data
-1.016523,0.369247,-0.809929,1.121598,-0.524969,-0.465095,-0.033883,g
-1.679917,0.549211,0.981589,-0.221176,0.137608,0.487986,0.712788,g
5.966085,-1.831268,-1.497166,3.728859,0.487616,3.418884,1.849815,g
-2.556993,0.031628,0.441375,0.031437,-0.676063,0.251752,0.96031,g
1.655809,0.552887,0.555498,-1.771565,0.870944,0.803792,-0.069407,g
0.804502,1.57568,-0.167645,-0.531521,-0.101242,0.458565,-0.182415,g
0.748046,1.194014,-0.008487,-0.640471,-0.227322,-0.134457,-0.278582,g
-0.645988,1.027573,0.755336,-0.474639,-0.198804,0.527065,-0.109998,g
3.638001,2.493165,-2.154463,-1.07038,0.384872,0.906252,0.557154,g
-0.565947,1.136769,-0.187095,0.537876,-0.793818,-0.616624,0.464789,g
2.00676,0.846166,0.211977,-1.567336,0.889745,-0.11767,-0.404349,g
-1.614519,0.236949,0.741704,0.387696,-0.596263,0.451164,0.382217,g
0.962668,0.419877,0.67676,0.361938,-1.366982,-0.116252,-0.392014,g
-1.588395,-0.717881,-0.593225,1.011974,-1.117785,-0.812078,0.06671,g
0.973649,-0.301852,0.493462,-2.206476,0.552501,1.857189,-0.038647,g
-0.131177,0.185282,-0.849434,-0.147223,0.471223,0.149666,-0.794735,g
0.394515,0.481606,0.078138,-0.753456,-1.164536,0.067136,-0.413509,g
-0.647301,0.71225,-0.909588,1.463426,-0.482882,-0.344088,0.177321,g
0.718968,1.448768,-0.620192,-0.225457,-0.485504,0.178229,-0.115219,g
0.087202,1.122036,0.088231,-0.841986,-0.185315,-0.034299,-0.171962,g
4.334783,0.362043,-1.709098,-2.250027,0.866769,-0.616312,0.494554,g
1.945641,0.772594,1.726705,-0.109872,0.687973,-0.460891,-0.079394,g
1.794449,1.135533,0.51469,-1.197866,0.659497,-1.094235,-0.158387,g
-2.921457,-0.358448,-0.574076,0.552246,-0.137028,-0.30865,0.775596,g
1.427017,0.875454,1.534292,-0.484826,1.217964,0.267278,0.198766,g
3.0414,1.322905,1.291414,0.311349,0.822644,-0.733146,-0.009574,g
-0.980227,-0.357553,-1.872423,0.888716,0.405688,-0.4263,-0.613284,g
-1.090531,0.311387,-0.433514,1.048664,-0.867322,-0.688352,0.383929,g
-2.176142,-0.183298,0.502488,0.053613,-0.116764,0.684995,0.143098,g
-0.666283,0.520599,-0.60555,-0.448285,-1.552008,0.038004,0.305294,g
1.110884,1.177483,-0.319347,1.337969,-0.507249,-0.23163,-0.110789,g
2.054654,1.390385,1.8686,-0.01065,1.316386,0.813598,0.095777,g
-0.121218,0.780602,-0.418859,-0.418308,-0.819789,-0.169421,-0.133958,g
-0.012214,-0.076282,-0.131737,-0.588047,-0.655883,0.149391,-0.597837,g
2.154338,0.610345,0.620696,-1.031351,0.205591,-0.541395,-0.23802,g
2.694947,1.847065,-0.944201,-0.288909,0.776333,0.29648,0.08358,g
0.837823,1.206332,0.213898,0.404683,-0.707902,-0.537489,-0.155073,g
0.453962,0.740844,-1.024281,-0.027535,-0.501103,-0.62324,-0.132939,g
-0.088829,1.02198,0.309702,-0.066979,-0.656881,-0.207607,-0.069731,g
2.507974,0.608487,2.109506,-0.00311,1.001359,0.355956,-0.305401,g
1.91784,0.069473,0.603384,-1.446894,-0.42297,0.181901,-0.644424,g
-2.243163,-0.820264,-0.162518,0.488112,0.725957,0.048828,-0.30042,g
-0.549343,0.646113,-0.263054,-0.768429,0.062746,0.433407,-0.241549,g
-3.521189,-1.181346,-0.292415,0.935387,0.706003,0.079043,0.491165,g
1.530138,1.87612,0.466054,0.73205,-0.049048,0.469891,-0.145684,g
-2.059946,0.26649,-0.288306,-0.277304,-1.12019,-0.805405,1.069209,g
0.813692,1.236603,-0.646973,-0.535619,-0.667842,0.191242,-0.163739,g
-3.379442,-0.902644,0.464521,-0.005435,0.56961,0.546455,0.702131,g
2.014162,1.101788,0.332019,-1.426133,0.513538,-0.155193,-0.29976,g
-0.930028,0.618409,0.597121,0.143957,-0.429675,-0.092014,0.063781,g
0.062601,0.046295,0.762155,-0.178815,-1.263663,-0.226842,-0.223451,g
0.923761,0.333701,-0.675469,-0.679421,-1.072555,0.616402,-0.885505,g
1.025357,-0.637743,1.932789,-0.197117,-0.537736,-0.228228,-0.592992,g
0.7165,1.159766,-0.055931,-0.674181,0.373975,0.512284,-0.588174,g
-0.353017,0.93353,0.089505,0.305839,-0.528988,0.139231,-0.090844,g
1.809218,0.75024,1.432724,0.086927,0.755498,0.035961,0.036472,g
-2.408332,-1.201412,-0.385856,0.523986,0.20313,-0.446101,-0.234533,g
3.81525,0.978894,1.692978,0.375169,0.895464,-0.247658,-0.19348,g
3.480147,2.088439,0.405295,0.61828,0.443913,-0.060961,0.220086,g
-1.536661,-0.143569,-0.131863,-0.68176,-1.191299,-0.2498,0.509091,g
1.863132,1.704629,0.033738,0.411832,0.12533,-0.102456,-0.166838,g
0.1593,-0.016324,0.669768,0.319456,-1.278112,0.153372,-0.422164,g
-0.818994,0.355844,-2.204322,1.299257,1.004161,-1.050468,0.595322,g
-2.710502,-1.332953,0.022947,0.370035,1.84928,0.459358,-0.639666,g
2.360808,0.700705,0.190683,-1.332733,0.909404,-0.225775,0.055094,g
-1.314263,-0.136067,0.342402,0.074954,-1.677659,-0.790741,0.528245,g
-2.988369,-1.101729,0.154371,-0.467223,0.190434,-0.134748,0.392678,g
1.339253,1.469245,-1.175639,-0.528922,-1.083325,-0.040588,0.02307,g
