@relation magic04-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P25.0-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute class {g,h}

@data
-8.947774,34.449625,g
-11.966046,29.176569,g
-71.217426,123.949713,g
-7.271322,35.808592,g
43.850677,28.801234,g
22.456039,105.538359,g
24.028568,33.623783,g
0.08054,46.987594,g
82.127441,266.072969,g
-6.520998,31.889307,g
47.374361,-17.126518,g
-24.189822,15.10764,g
-19.140893,-56.280739,g
-9.032991,-42.859251,g
56.280913,75.516376,g
27.887404,54.73142,g
25.215369,11.842897,g
-16.769716,64.974422,g
24.699564,104.458252,g
26.616425,46.370464,g
110.756682,5.865244,g
-26.350901,-133.98764,g
31.54307,-73.159401,g
1.614445,36.140279,g
-14.104956,-50.642568,g
-28.38814,-116.106121,g
22.04918,57.388386,g
-14.865499,-3.635748,g
-9.496142,38.648116,g
29.874586,78.026984,g
-25.409878,24.473012,g
-35.317902,-23.09863,g
26.239184,48.68102,g
25.399486,2.56205,g
23.637817,-82.463632,g
34.584551,122.520078,g
-10.277643,-16.425384,g
29.555369,34.678082,g
-0.156404,12.733518,g
-39.095158,-128.280186,g
35.740002,-54.432988,g
-4.955224,-10.434394,g
31.282743,80.463979,g
-15.480204,6.319214,g
-26.577107,62.454808,g
19.145916,7.487656,g
33.910264,93.095826,g
-6.498828,13.676966,g
40.635644,-12.711521,g
-12.794486,-7.146268,g
-5.692385,-69.351314,g
38.788931,78.721536,g
-28.986909,-188.384601,g
24.727104,76.753753,g
-6.440111,46.425543,g
-27.026921,-76.665072,g
0.02754,-45.468585,g
-38.659894,-147.826206,g
-19.276513,10.288382,g
27.456989,7.858661,g
-6.563607,34.875189,g
-18.525323,-41.812746,g
18.22689,98.378754,g
-5.533729,-11.89382,g
41.785379,-24.309679,g
-3.761668,-63.798013,g
15.51727,-27.994618,g
45.6915,116.402821,g
7.64406,-17.683892,g
31.487298,44.078268,g
14.230183,-33.964304,g
-16.216326,51.502184,g
-7.299382,-34.29426,g
-11.789204,-43.164958,g
-1.851389,-1.786437,g
-19.05533,64.474206,g
-14.064079,22.806779,g
30.625083,57.579951,g
52.169717,3.916513,g
16.669603,43.336431,g
27.941097,62.789613,g
31.363283,62.899079,g
30.969588,-1.889494,g
-3.778469,-19.538053,g
16.449287,57.673135,g
-17.908713,147.142393,g
-11.255386,-94.810556,g
27.197008,74.204174,g
33.268712,110.708184,g
20.115518,21.43257,g
-37.519338,-158.001658,g
-15.501508,-83.95129,g
-18.118637,-28.759491,g
34.985694,-35.891037,g
-5.930542,-6.874856,g
15.634703,23.649768,g
23.21537,3.535462,g
-14.609156,-22.955216,g
24.899616,20.565678,g
-34.822189,27.918927,g
17.494406,-106.6176,g
18.382775,-75.799047,g
-8.3736,36.723461,g
33.953392,-46.899259,g
14.694546,38.83102,g
-20.632709,-193.56707,g
28.003451,-13.264911,g
14.041736,-75.352351,g
22.414989,83.685247,g
26.597372,0.491556,g
-21.804788,-29.624131,g
-0.033082,-17.283615,g
-5.743827,20.638425,g
25.039046,31.099145,g
5.187492,0.393522,g
-7.106258,30.415332,g
-11.942664,-11.983194,g
-25.220911,140.562332,g
19.396544,-7.749022,g
-15.073692,-44.085889,g
18.687443,-27.42027,g
14.326312,42.924722,g
-16.022163,-189.374468,g
45.452997,-234.823481,g
25.341982,-64.904274,g
-15.576679,0.295315,g
24.015924,143.465422,g
-15.349954,123.141538,g
29.072126,84.22149,g
31.757152,108.163282,g
-13.155445,-26.634265,g
-12.91088,44.652443,g
-20.556845,4.41188,g
15.564035,9.248805,g
-19.820204,-49.68024,g
26.248884,12.989515,g
-26.452053,8.874336,g
54.290786,13.947339,g
24.553379,-0.656274,g
22.689692,28.815263,g
-9.02156,8.448424,g
11.750406,26.017308,g
17.198745,-42.50418,g
34.673232,-145.741683,g
-3.391182,-13.172766,g
-12.756727,16.048144,g
5.115266,10.654364,g
14.131803,49.731336,g
23.815352,68.500011,g
19.570096,85.919073,g
-9.270456,13.493715,g
27.193371,72.523739,g
22.646391,40.153614,g
-30.233293,-127.601569,g
-12.188961,-26.922132,g
-34.558224,-186.727375,g
38.227747,109.297602,g
22.949154,12.104437,g
26.613307,-169.681397,g
-15.240661,-40.675308,g
-10.73144,-0.202996,g
15.340774,46.624556,g
63.952512,-125.293438,g
25.873548,94.945829,g
13.020692,35.015139,g
-14.815963,-60.629746,g
-18.581614,-100.20676,g
18.735767,39.068138,g
-43.991839,-3.65584,g
-11.996011,-99.172899,g
15.421661,14.158996,g
-8.060445,0.474062,g
-19.37524,5.793537,g
-3.814669,-107.335708,g
19.359998,29.534238,g
19.790413,-18.35818,g
-25.794567,-127.260008,g
-4.469037,-104.966263,g
-4.886115,-4.895468,g
-14.345018,-21.440191,g
-36.380861,-7.342163,g
-5.50134,-50.277971,g
-14.596339,-11.642326,g
-19.677829,-5.310295,g
29.937459,-40.185311,g
-17.814489,6.223432,g
32.049868,30.755853,g
30.235199,39.632267,g
28.21147,176.725994,g
34.098365,169.842997,g
35.319287,104.156356,g
27.638681,102.156876,g
22.112919,55.853616,g
-6.48653,56.64395,g
-39.511716,-69.563491,g
-9.137261,18.691599,g
19.189391,69.405701,g
19.53788,79.69287,g
