@relation magic04-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P50.0-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute class {g,h}

@data
-8.947774,34.449625,137.244069,-141.82517,174.801339,g
-11.966046,29.176569,351.160311,-355.522481,381.108855,g
-71.217426,123.949713,437.735658,-444.769863,687.48145,g
-7.271322,35.808592,198.144014,-202.194415,223.890084,g
43.850677,28.801234,611.935109,-617.410295,676.990071,g
22.456039,105.538359,407.360163,-412.397833,454.48788,g
24.028568,33.623783,374.216159,-379.469815,415.223847,g
0.08054,46.987594,406.307769,-410.728136,439.714353,g
82.127441,266.072969,422.745105,-429.940044,517.838851,g
-6.520998,31.889307,172.637661,-177.103927,208.481067,g
47.374361,-17.126518,553.842125,-559.615224,617.623337,g
-24.189822,15.10764,277.837404,-282.06101,315.709041,g
-19.140893,-56.280739,303.474181,-308.746717,353.737429,g
-9.032991,-42.859251,67.352701,-71.675034,98.401617,g
56.280913,75.516376,639.773842,-645.306705,708.991442,g
27.887404,54.73142,366.329092,-370.877111,414.856653,g
25.215369,11.842897,326.507166,-331.609787,367.842558,g
-16.769716,64.974422,126.002886,-130.810366,163.976887,g
24.699564,104.458252,307.545193,-313.125341,351.666589,g
26.616425,46.370464,379.610111,-384.179261,416.369599,g
110.756682,5.865244,487.685925,-494.351549,625.655203,g
-26.350901,-133.98764,518.219729,-524.037168,568.073347,g
31.54307,-73.159401,465.930327,-471.183638,507.759874,g
1.614445,36.140279,110.557149,-114.604086,135.420912,g
-14.104956,-50.642568,588.23771,-593.23433,647.162251,g
-28.38814,-116.106121,502.735541,-508.843618,565.6438,g
22.04918,57.388386,176.05517,-180.623454,219.231213,g
-14.865499,-3.635748,105.803363,-110.441968,148.569949,g
-9.496142,38.648116,316.929791,-320.756757,342.875046,g
29.874586,78.026984,185.125228,-189.564301,227.943256,g
-25.409878,24.473012,239.510757,-245.260126,296.326873,g
-35.317902,-23.09863,638.030187,-643.95917,696.770438,g
26.239184,48.68102,263.040148,-267.969045,301.110971,g
25.399486,2.56205,339.825078,-344.780302,383.445565,g
23.637817,-82.463632,484.595946,-490.023154,550.660001,g
34.584551,122.520078,441.527637,-447.903143,517.680368,g
-10.277643,-16.425384,281.524421,-286.796437,328.504393,g
29.555369,34.678082,222.673491,-227.939618,275.783711,g
-0.156404,12.733518,301.926593,-306.586849,339.392411,g
-39.095158,-128.280186,638.890669,-644.871961,712.914884,g
35.740002,-54.432988,499.05528,-504.984609,553.55599,g
-4.955224,-10.434394,289.926426,-293.908237,318.638459,g
31.282743,80.463979,382.261535,-386.664754,424.48062,g
-15.480204,6.319214,183.110853,-186.803412,210.409012,g
-26.577107,62.454808,400.364757,-406.30621,449.282721,g
19.145916,7.487656,92.347926,-96.563391,127.955427,g
33.910264,93.095826,320.463867,-325.840326,375.134839,g
-6.498828,13.676966,287.767944,-291.408888,315.226319,g
40.635644,-12.711521,518.66885,-524.632993,576.77569,g
-12.794486,-7.146268,296.976739,-301.382037,331.973691,g
-5.692385,-69.351314,300.066371,-304.823622,343.839279,g
38.788931,78.721536,359.744528,-364.762972,409.983354,g
-28.986909,-188.384601,467.553952,-472.295614,516.240168,g
24.727104,76.753753,469.279767,-474.299597,515.046958,g
-6.440111,46.425543,287.986529,-292.830902,324.416234,g
-27.026921,-76.665072,522.091555,-527.556695,577.928716,g
0.02754,-45.468585,201.096295,-204.972625,226.716098,g
-38.659894,-147.826206,583.710995,-590.622397,666.11591,g
-19.276513,10.288382,444.703179,-451.855683,518.96122,g
27.456989,7.858661,186.526284,-190.972458,222.071257,g
-6.563607,34.875189,381.876153,-387.82696,437.266619,g
-18.525323,-41.812746,304.750875,-309.425681,346.550804,g
18.22689,98.378754,95.75972,-99.979342,128.330416,g
-5.533729,-11.89382,404.997646,-408.67912,426.00188,g
41.785379,-24.309679,526.477628,-532.295586,592.86038,g
-3.761668,-63.798013,124.831673,-129.079701,160.101597,g
15.51727,-27.994618,250.057214,-253.766228,270.926002,g
45.6915,116.402821,255.472125,-261.125712,315.839811,g
7.64406,-17.683892,337.80464,-341.799442,363.431891,g
31.487298,44.078268,380.093007,-384.833977,424.576575,g
14.230183,-33.964304,361.306145,-365.149219,392.677396,g
-16.216326,51.502184,272.487272,-278.027064,328.730773,g
-7.299382,-34.29426,343.530973,-348.841961,382.401138,g
-11.789204,-43.164958,332.411554,-336.682964,361.916866,g
-1.851389,-1.786437,91.895861,-96.126395,128.373197,g
-19.05533,64.474206,372.488438,-377.337661,412.184791,g
-14.064079,22.806779,431.507203,-435.229727,457.694946,g
30.625083,57.579951,616.43948,-621.788919,666.016317,g
52.169717,3.916513,524.373879,-530.960175,601.587838,g
16.669603,43.336431,343.35084,-348.159533,374.450852,g
27.941097,62.789613,374.02061,-379.452495,421.706567,g
31.363283,62.899079,267.996931,-274.734435,339.992913,g
30.969588,-1.889494,203.799507,-208.301626,244.340407,g
-3.778469,-19.538053,222.784342,-226.756628,257.076177,g
16.449287,57.673135,162.045477,-165.822041,182.655323,g
-17.908713,147.142393,435.427527,-442.218552,507.031893,g
-11.255386,-94.810556,52.39956,-56.608097,88.350526,g
27.197008,74.204174,388.833455,-393.757502,433.348373,g
33.268712,110.708184,364.745998,-369.475882,402.976862,g
20.115518,21.43257,393.667089,-398.525838,425.043883,g
-37.519338,-158.001658,505.046443,-510.515047,568.643192,g
-15.501508,-83.95129,624.400159,-629.581416,675.278286,g
-18.118637,-28.759491,561.682773,-568.098808,629.986889,g
34.985694,-35.891037,513.338983,-518.182836,569.319385,g
-5.930542,-6.874856,251.08536,-255.020233,278.102061,g
15.634703,23.649768,330.725056,-334.890292,360.711705,g
23.21537,3.535462,402.94863,-407.383546,440.809875,g
-14.609156,-22.955216,331.318456,-335.661054,367.855375,g
24.899616,20.565678,375.831816,-380.001555,405.523497,g
-34.822189,27.918927,152.743672,-158.011531,208.072996,g
17.494406,-106.6176,502.422733,-507.631183,532.921723,g
18.382775,-75.799047,286.713991,-291.130028,324.139799,g
-8.3736,36.723461,271.857499,-276.615442,313.912558,g
33.953392,-46.899259,485.080747,-489.505271,528.418737,g
14.694546,38.83102,314.266936,-318.441005,345.109218,g
-20.632709,-193.56707,518.656206,-523.458663,559.318697,g
28.003451,-13.264911,263.048808,-267.193086,298.129938,g
14.041736,-75.352351,284.693554,-289.165882,324.569001,g
22.414989,83.685247,321.744199,-327.626071,368.686067,g
26.597372,0.491556,121.589101,-125.986951,153.42558,g
-21.804788,-29.624131,183.9024,-188.828179,225.183752,g
-0.033082,-17.283615,250.013913,-253.91172,270.623759,g
-5.743827,20.638425,242.144167,-246.595538,273.060235,g
25.039046,31.099145,115.355103,-119.938803,150.626413,g
5.187492,0.393522,311.450448,-315.26096,320.448452,g
-7.106258,30.415332,218.911996,-222.927063,243.51266,g
-11.942664,-11.983194,321.766716,-326.727136,364.378803,g
-25.220911,140.562332,321.799278,-327.328158,390.716541,g
19.396544,-7.749022,259.513692,-264.304025,302.924428,g
-15.073692,-44.085889,311.064201,-314.916282,338.824299,g
18.687443,-27.42027,254.958918,-259.213528,286.548234,g
14.326312,42.924722,80.620383,-84.868411,117.491415,g
-16.022163,-189.374468,493.909703,-499.286162,539.452593,g
45.452997,-234.823481,559.981206,-566.815359,642.403788,g
25.341982,-64.904274,157.828973,-162.823688,208.935903,g
-15.576679,0.295315,154.231677,-158.720459,194.028488,g
24.015924,143.465422,429.575793,-434.588868,468.664889,g
-15.349954,123.141538,398.761917,-404.636514,453.193345,g
29.072126,84.22149,505.1592,-511.613168,574.227151,g
31.757152,108.163282,168.293504,-172.762888,207.725893,g
-13.155445,-26.634265,310.359429,-316.059435,357.189233,g
-12.91088,44.652443,467.259676,-472.186495,503.472875,g
-20.556845,4.41188,544.173817,-548.142119,586.387013,g
15.564035,9.248805,324.98019,-329.157203,353.867679,g
-19.820204,-49.68024,194.606127,-199.078456,235.14443,g
26.248884,12.989515,278.383173,-283.574822,326.156772,g
-26.452053,8.874336,257.361965,-262.443802,305.635607,g
54.290786,13.947339,529.2787,-534.117704,595.791876,g
24.553379,-0.656274,132.622784,-136.734326,165.27887,g
22.689692,28.815263,398.091094,-402.102523,425.071769,g
-9.02156,8.448424,342.150875,-346.340879,373.671082,g
11.750406,26.017308,251.353308,-255.458442,278.88287,g
17.198745,-42.50418,345.344257,-349.442982,377.460636,g
34.673232,-145.741683,392.341378,-397.96985,443.123202,g
-3.391182,-13.172766,296.067585,-299.771229,317.457893,g
-12.756727,16.048144,346.549245,-351.731022,388.717408,g
5.115266,10.654364,361.427215,-365.173468,370.288734,g
