@relation magic04-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P75.0-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute class {g,h}

@data
-8.947774,34.449625,137.244069,-141.82517,174.801339,-14.207493,-36.903941,g
-11.966046,29.176569,351.160311,-355.522481,381.108855,-17.246723,-32.948283,g
-71.217426,123.949713,437.735658,-444.769863,687.48145,-78.316409,190.753527,g
-7.271322,35.808592,198.144014,-202.194415,223.890084,-12.386415,4.252358,g
43.850677,28.801234,611.935109,-617.410295,676.990071,37.826777,89.710879,g
22.456039,105.538359,407.360163,-412.397833,454.48788,16.999213,-73.928778,g
24.028568,33.623783,374.216159,-379.469815,415.223847,18.336875,2.295314,g
0.08054,46.987594,406.307769,-410.728136,439.714353,-5.073523,-41.090827,g
82.127441,266.072969,422.745105,-429.940044,517.838851,74.797575,-171.903964,g
-6.520998,31.889307,172.637661,-177.103927,208.481067,-11.572178,-38.464865,g
47.374361,-17.126518,553.842125,-559.615224,617.623337,41.17258,67.29156,g
-24.189822,15.10764,277.837404,-282.06101,315.709041,-29.328297,-0.448255,g
-19.140893,-56.280739,303.474181,-308.746717,353.737429,-24.796732,146.275328,g
-9.032991,-42.859251,67.352701,-71.675034,98.401617,-14.168695,124.400219,g
56.280913,75.516376,639.773842,-645.306705,708.991442,49.937623,137.813394,g
27.887404,54.73142,366.329092,-370.877111,414.856653,22.806433,-20.197964,g
25.215369,11.842897,326.507166,-331.609787,367.842558,19.616515,103.285481,g
-16.769716,64.974422,126.002886,-130.810366,163.976887,-22.166613,-64.7522,g
24.699564,104.458252,307.545193,-313.125341,351.666589,18.698354,-65.05808,g
26.616425,46.370464,379.610111,-384.179261,416.369599,21.509127,-11.845322,g
110.756682,5.865244,487.685925,-494.351549,625.655203,103.955957,131.589789,g
-26.350901,-133.98764,518.219729,-524.037168,568.073347,-32.578663,150.300268,g
31.54307,-73.159401,465.930327,-471.183638,507.759874,25.922219,109.319772,g
1.614445,36.140279,110.557149,-114.604086,135.420912,-3.533903,-26.796558,g
-14.104956,-50.642568,588.23771,-593.23433,647.162251,-19.648038,66.591118,g
-28.38814,-116.106121,502.735541,-508.843618,565.6438,-34.723981,112.254906,g
22.04918,57.388386,176.05517,-180.623454,219.231213,16.838305,-33.81656,g
-14.865499,-3.635748,105.803363,-110.441968,148.569949,-20.245595,-2.717588,g
-9.496142,38.648116,316.929791,-320.756757,342.875046,-14.30674,11.877885,g
29.874586,78.026984,185.125228,-189.564301,227.943256,24.800543,35.208263,g
-25.409878,24.473012,239.510757,-245.260126,296.326873,-31.495439,-36.107544,g
-35.317902,-23.09863,638.030187,-643.95917,696.770438,-41.733418,14.407718,g
26.239184,48.68102,263.040148,-267.969045,301.110971,20.744426,12.066159,g
25.399486,2.56205,339.825078,-344.780302,383.445565,19.855018,107.092009,g
23.637817,-82.463632,484.595946,-490.023154,550.660001,17.878055,155.985032,g
34.584551,122.520078,441.527637,-447.903143,517.680368,27.967771,-96.999349,g
-10.277643,-16.425384,281.524421,-286.796437,328.504393,-15.941103,14.052994,g
29.555369,34.678082,222.673491,-227.939618,275.783711,23.860039,-5.047542,g
-0.156404,12.733518,301.926593,-306.586849,339.392411,-5.381655,2.794491,g
-39.095158,-128.280186,638.890669,-644.871961,712.914884,-45.508249,136.490453,g
35.740002,-54.432988,499.05528,-504.984609,553.55599,29.405546,227.183059,g
-4.955224,-10.434394,289.926426,-293.908237,318.638459,-9.946648,20.827391,g
31.282743,80.463979,382.261535,-386.664754,424.48062,26.228445,-41.361893,g
-15.480204,6.319214,183.110853,-186.803412,210.409012,-20.527747,-8.149299,g
-26.577107,62.454808,400.364757,-406.30621,449.282721,-32.88437,-79.476883,g
19.145916,7.487656,92.347926,-96.563391,127.955427,14.024589,11.077851,g
33.910264,93.095826,320.463867,-325.840326,375.134839,28.105988,-38.478548,g
-6.498828,13.676966,287.767944,-291.408888,315.226319,-11.426859,8.181688,g
40.635644,-12.711521,518.66885,-524.632993,576.77569,34.265854,61.93883,g
-12.794486,-7.146268,296.976739,-301.382037,331.973691,-17.94803,-0.824456,g
