@relation winequality-white-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R12-precision6-weka.filters.unsupervised.attribute.Remove-R12_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N200-T0.01

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
-0.001009,-0.001887,0.005621,-0.011244,0.018097,-0.00222,-0.022355,'\'(5.4-6]\''
0.013976,0.020176,-0.00986,0.012645,0.008124,0.0108,0.000687,'\'(5.4-6]\''
0.004158,-0.011434,-0.017469,-0.00269,-0.007294,-0.008943,0.023346,'\'(5.4-6]\''
0.007475,-0.017315,0.004081,-0.008835,0.000977,0.005658,-0.006376,'\'(5.4-6]\''
0.007475,-0.017315,0.004081,-0.008835,0.000977,0.005658,-0.006376,'\'(5.4-6]\''
0.004158,-0.011434,-0.017469,-0.00269,-0.007294,-0.008943,0.023346,'\'(5.4-6]\''
-0.005145,0.007467,0.000307,0.00916,0.012674,0.001961,-0.008996,'\'(5.4-6]\''
-0.001009,-0.001887,0.005621,-0.011244,0.018097,-0.00222,-0.022355,'\'(5.4-6]\''
0.013976,0.020176,-0.00986,0.012645,0.008124,0.0108,0.000687,'\'(5.4-6]\''
0.023855,-0.000023,0.007926,-0.005945,-0.002596,-0.004816,0.020867,'\'(5.4-6]\''
0.005277,-0.002393,-0.006884,0.012333,0.000121,-0.013062,0.01932,'\'(4.8-5.4]\''
0.006504,-0.01601,-0.020929,0.011037,0.00418,0.008884,0.025221,'\'(4.8-5.4]\''
-0.002749,-0.005063,-0.01992,0.003373,0.005195,0.003621,0.030514,'\'(4.8-5.4]\''
0.006186,0.004173,0.011379,-0.027604,-0.024465,0.007669,0.020475,'\'(6.6-7.2]\''
-0.008348,-0.005746,0.005003,0.009679,0.005545,-0.002957,0.002516,'\'(4.8-5.4]\''
0.00231,0.009365,-0.004438,-0.006646,-0.004697,0.007951,0.007748,'\'(6.6-7.2]\''
-0.011657,0.008522,-0.00486,0.027412,0.001868,-0.018303,0.00142,'\'(5.4-6]\''
-0.005693,0.02474,-0.001754,0.031239,-0.047036,-0.032279,0.002647,'\'(7.8-8.4]\''
0.016337,-0.004298,0.007028,0.024424,-0.005055,0.017338,-0.001301,'\'(5.4-6]\''
-0.009384,0.004619,0.001292,0.005912,0.013055,0.001394,0.000089,'\'(4.8-5.4]\''
-0.005693,0.02474,-0.001754,0.031239,-0.047036,-0.032279,0.002647,'\'(7.8-8.4]\''
0.010047,0.004637,-0.01699,0.010005,-0.01373,-0.002553,-0.01139,'\'(6.6-7.2]\''
0.000388,0.006591,-0.011966,-0.009001,-0.01702,0.000262,0.020428,'\'(7.8-8.4]\''
-0.009015,-0.012676,0.006624,0.059584,0.0134,-0.01487,0.004817,'\'(4.8-5.4]\''
0.031445,0.029707,0.00686,-0.001662,0.004787,0.007257,0.01036,'\'(5.4-6]\''
