@relation winequality-white-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R12-precision6-weka.filters.unsupervised.attribute.Remove-R12_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
0.00833,0.001625,0.004281,0.01531,0.016011,-0.003553,-0.007618,'\'(5.4-6]\''
-0.000833,-0.000359,-0.026305,0.009315,-0.00792,0.011831,-0.008825,'\'(5.4-6]\''
-0.008734,-0.006275,0.019471,0.012291,-0.013915,0.021182,0.014957,'\'(5.4-6]\''
-0.012341,0.006159,0.010504,0.009759,0.008246,-0.009029,0.000256,'\'(5.4-6]\''
-0.012341,0.006159,0.010504,0.009759,0.008246,-0.009029,0.000256,'\'(5.4-6]\''
-0.008734,-0.006275,0.019471,0.012291,-0.013915,0.021182,0.014957,'\'(5.4-6]\''
0.006012,0.015991,-0.017737,0.006851,0.006444,0.001838,0.005807,'\'(5.4-6]\''
0.00833,0.001625,0.004281,0.01531,0.016011,-0.003553,-0.007618,'\'(5.4-6]\''
-0.000833,-0.000359,-0.026305,0.009315,-0.00792,0.011831,-0.008825,'\'(5.4-6]\''
-0.016464,-0.022683,-0.00255,0.011315,-0.002178,0.002798,-0.004062,'\'(5.4-6]\''
-0.002353,-0.014534,0.000641,-0.016229,-0.019812,0.005301,0.013787,'\'(4.8-5.4]\''
-0.013424,-0.009752,0.005878,0.002557,-0.017639,0.021105,0.021657,'\'(4.8-5.4]\''
-0.004133,-0.002086,0.008388,-0.010689,-0.026331,0.018932,0.013586,'\'(4.8-5.4]\''
-0.009798,-0.011877,0.015827,0.001707,-0.008108,-0.009143,-0.017835,'\'(6.6-7.2]\''
0.027363,-0.034326,0.021501,-0.002557,0.000156,0.007692,0.005974,'\'(4.8-5.4]\''
-0.00685,-0.004846,-0.006686,-0.010834,-0.009298,0.000974,-0.011281,'\'(6.6-7.2]\''
0.005066,0.018385,-0.026388,0.011988,0.013115,0.019015,0.027339,'\'(5.4-6]\''
0.017846,-0.032039,-0.009612,-0.008964,-0.003294,0.012237,0.008451,'\'(7.8-8.4]\''
-0.005125,-0.019077,-0.01474,-0.009711,-0.007481,-0.014336,0.005896,'\'(5.4-6]\''
0.007233,0.014896,-0.011969,0.009623,0.006484,0.006351,0.010615,'\'(4.8-5.4]\''
0.017846,-0.032039,-0.009612,-0.008964,-0.003294,0.012237,0.008451,'\'(7.8-8.4]\''
-0.012227,0.001504,-0.011338,-0.004506,-0.008948,0.001664,-0.001983,'\'(6.6-7.2]\''
-0.006791,-0.008014,0.00742,0.006024,-0.006842,0.019884,-0.006144,'\'(7.8-8.4]\''
0.024325,0.006307,-0.012726,0.003714,0.007056,0.009036,0.050307,'\'(4.8-5.4]\''
-0.004369,-0.017948,-0.02672,0.024497,-0.005306,0.006395,-0.023952,'\'(5.4-6]\''
-0.005956,-0.002994,0.008154,0.003254,0.014753,-0.025763,-0.001201,'\'(5.4-6]\''
-0.015146,0.001805,0.003833,0.009465,-0.008614,0.012705,0.001127,'\'(5.4-6]\''
0.005793,-0.011638,0.005844,0.017098,-0.008447,0.001501,-0.008405,'\'(5.4-6]\''
-0.009507,-0.015784,-0.000485,-0.005137,-0.017411,-0.006899,-0.003647,'\'(5.4-6]\''
0.017589,-0.013758,0.003629,-0.027837,-0.004425,-0.00143,0.009344,'\'(6.6-7.2]\''
-0.005033,-0.014186,0.01209,0.018798,-0.015657,0.000953,0.011682,'\'(5.4-6]\''
-0.028997,-0.001142,0.013203,0.024771,-0.036446,0.030206,0.015349,'\'(5.4-6]\''
-0.011393,0.001468,0.008126,-0.003033,-0.008875,0.011573,0.007928,'\'(5.4-6]\''
-0.012366,0.01227,-0.004058,0.001042,-0.001369,0.032578,-0.013021,'\'(5.4-6]\''
-0.003783,0.020259,0.000591,0.022426,-0.012905,-0.029436,-0.001961,'\'(4.8-5.4]\''
-0.005702,-0.006577,0.016372,0.00285,-0.020035,-0.025191,-0.008704,'\'(4.8-5.4]\''
-0.005418,0.012453,-0.008407,0.009812,-0.002509,-0.003444,0.013952,'\'(4.8-5.4]\''
-0.019917,0.005639,0.002241,-0.0036,0.00494,-0.006424,0.009614,'\'(5.4-6]\''
-0.006451,0.008246,0.023682,0.023784,0.00091,0.010933,-0.00019,'\'(4.8-5.4]\''
-0.006451,0.008246,0.023682,0.023784,0.00091,0.010933,-0.00019,'\'(4.8-5.4]\''
0.000951,0.043007,0.048754,0.007423,0.001396,0.00583,-0.017794,'\'(5.4-6]\''
0.000361,0.044003,0.049904,0.007862,0.001404,0.005365,-0.016731,'\'(5.4-6]\''
0.002523,0.010838,-0.001253,0.011231,-0.001053,-0.007658,0.004726,'\'(5.4-6]\''
-0.000206,0.012323,-0.0093,-0.003647,-0.000593,0.009632,0.001417,'\'(5.4-6]\''
-0.001416,0.014246,-0.005447,-0.002163,-0.002935,0.008762,0.003434,'\'(5.4-6]\''
-0.011695,0.007788,0.003566,-0.005002,-0.000374,0.000585,0.004756,'\'(6.6-7.2]\''
0.015493,0.00523,-0.000643,-0.003995,0.023574,0.002705,0.008102,'\'(3.6-4.2]\''
0.01659,0.007174,-0.000242,-0.00457,0.023002,0.001294,0.009669,'\'(4.8-5.4]\''
0.002523,0.010838,-0.001253,0.011231,-0.001053,-0.007658,0.004726,'\'(5.4-6]\''
-0.007795,0.006395,0.007219,0.014662,-0.010208,0.004063,-0.008673,'\'(4.8-5.4]\''
-0.017396,0.001731,0.011381,0.008488,-0.012241,-0.024689,-0.002252,'\'(5.4-6]\''
0.00518,0.012382,0.014753,-0.00671,-0.012454,0.005523,0.00311,'\'(6.6-7.2]\''
-0.010184,0.015982,0.002017,-0.002298,-0.021542,0.008198,-0.010215,'\'(6.6-7.2]\''
-0.021872,0.008019,0.001467,-0.001688,-0.002196,0.007821,-0.009117,'\'(5.4-6]\''
-0.007782,0.027537,0.03317,-0.003182,-0.015335,0.018222,-0.025422,'\'(5.4-6]\''
-0.011909,0.002441,-0.004266,-0.018587,-0.005867,-0.018568,0.006932,'\'(5.4-6]\''
-0.008483,0.008054,0.008291,-0.001738,-0.000415,-0.018552,0.005732,'\'(5.4-6]\''
-0.008838,0.020679,0.002936,0.01579,0.010787,0.008485,-0.010607,'\'(5.4-6]\''
0.002296,0.014926,-0.01553,0.005194,0.00393,0.012328,0.017169,'\'(5.4-6]\''
-0.029012,0.002844,0.010358,0.004759,-0.001384,0.026546,0.009311,'\'(5.4-6]\''
-0.000209,0.033165,0.002508,0.004331,-0.002365,0.014232,0.001903,'\'(5.4-6]\''
-0.008838,0.020679,0.002936,0.01579,0.010787,0.008485,-0.010607,'\'(5.4-6]\''
-0.007731,0.015006,-0.026275,-0.00175,0.006565,-0.013805,0.039192,'\'(4.8-5.4]\''
0.002296,0.014926,-0.01553,0.005194,0.00393,0.012328,0.017169,'\'(5.4-6]\''
-0.011479,0.002472,-0.010833,-0.001821,0.003072,0.007899,0.00765,'\'(5.4-6]\''
0.012724,0.031232,-0.018362,0.004221,0.003383,0.015492,0.020096,'\'(4.8-5.4]\''
-0.000269,0.011711,0.011666,-0.010955,-0.01723,-0.027849,0.007591,'\'(6.6-7.2]\''
-0.013262,0.021929,0.00395,-0.016609,0.038781,0.011639,0.018712,'\'(4.8-5.4]\''
0.008485,0.002048,0.001149,-0.005487,-0.013544,0.016608,0.000224,'\'(7.8-8.4]\''
-0.012581,0.010863,0.002845,0.017728,-0.008252,0.007302,0.008079,'\'(4.8-5.4]\''
-0.001561,0.004451,-0.008095,-0.009559,0.015391,-0.010761,-0.01416,'\'(5.4-6]\''
0.007013,0.002054,-0.005378,0.00843,0.015098,-0.010928,0.001986,'\'(4.8-5.4]\''
0.02001,-0.006581,-0.008024,0.02568,-0.011588,-0.005971,-0.018671,'\'(4.8-5.4]\''
-0.014075,-0.004462,-0.002471,-0.003076,-0.016818,0.035632,0.014848,'\'(5.4-6]\''
0.008485,0.002048,0.001149,-0.005487,-0.013544,0.016608,0.000224,'\'(7.8-8.4]\''
-0.012581,0.010863,0.002845,0.017728,-0.008252,0.007302,0.008079,'\'(4.8-5.4]\''
-0.020346,-0.002837,0.011898,-0.002125,-0.012257,-0.010113,-0.004767,'\'(6.6-7.2]\''
0.015669,-0.010928,0.001566,-0.006836,-0.021164,0.010366,0.00543,'\'(6.6-7.2]\''
0.004541,0.016186,0.003469,-0.001935,-0.005332,0.011702,0.002461,'\'(4.8-5.4]\''
0.009971,0.005561,-0.010187,0.01666,-0.004411,0.028022,0.022115,'\'(4.8-5.4]\''
0.017809,0.001001,0.007023,-0.008543,-0.016616,0.017911,0.001275,'\'(5.4-6]\''
0.009278,0.009389,0.025078,0.003823,-0.000879,0.005428,0.002568,'\'(5.4-6]\''
-0.00064,0.011665,0.004827,0.00843,0.012613,-0.002675,0.014344,'\'(4.8-5.4]\''
-0.012536,0.000037,0.004085,0.017391,0.004349,-0.008063,0.002278,'\'(5.4-6]\''
0.007161,-0.017758,0.009343,-0.005159,0.013629,0.033026,-0.00125,'\'(4.8-5.4]\''
0.008742,-0.019882,0.007988,-0.004505,0.012316,0.034291,-0.001686,'\'(5.4-6]\''
0.002517,-0.020008,0.007232,-0.005187,0.016173,0.032959,-0.006023,'\'(5.4-6]\''
0.001301,0.00615,0.019147,0.00392,0.020863,-0.005081,-0.000992,'\'(5.4-6]\''
0.007161,-0.017758,0.009343,-0.005159,0.013629,0.033026,-0.00125,'\'(4.8-5.4]\''
0.008742,-0.019882,0.007988,-0.004505,0.012316,0.034291,-0.001686,'\'(5.4-6]\''
0.002517,-0.020008,0.007232,-0.005187,0.016173,0.032959,-0.006023,'\'(5.4-6]\''
-0.004153,0.000639,-0.008205,-0.010497,0.030798,-0.003578,-0.017411,'\'(4.8-5.4]\''
-0.015592,-0.006475,0.00807,-0.00792,0.004168,-0.01618,-0.001069,'\'(6.6-7.2]\''
-0.017133,-0.004505,0.0098,-0.010191,0.003543,-0.016571,-0.001805,'\'(6.6-7.2]\''
-0.020237,-0.002406,0.011533,-0.006193,0.007237,-0.006224,0.003421,'\'(6.6-7.2]\''
-0.009848,0.009428,0.007395,-0.001473,0.02634,-0.016094,0.007654,'\'(5.4-6]\''
0.010826,-0.009003,0.000048,-0.004004,-0.010915,0.011387,-0.023488,'\'(5.4-6]\''
-0.023952,-0.009203,0.000282,-0.004249,-0.009486,0.003325,0.02259,'\'(6.6-7.2]\''
-0.023074,-0.013912,0.021168,0.01138,-0.023906,0.011961,0.042825,'\'(3.6-4.2]\''
0.010826,-0.009003,0.000048,-0.004004,-0.010915,0.011387,-0.023488,'\'(5.4-6]\''
-0.004289,0.009544,0.0173,0.001099,0.012464,-0.003728,0.004345,'\'(4.8-5.4]\''
-0.018837,0.014082,0.030167,0.012264,0.005448,0.011982,-0.000762,'\'(4.8-5.4]\''
-0.004556,0.016637,0.004652,0.016786,0.014046,0.000161,-0.011179,'\'(4.8-5.4]\''
0.008269,0.001686,0.017437,0.01189,0.007986,-0.001629,0.001775,'\'(4.8-5.4]\''
-0.004289,0.009544,0.0173,0.001099,0.012464,-0.003728,0.004345,'\'(4.8-5.4]\''
-0.017752,0.019606,0.023092,0.017573,-0.011019,0.009806,0.002927,'\'(5.4-6]\''
-0.018837,0.014082,0.030167,0.012264,0.005448,0.011982,-0.000762,'\'(4.8-5.4]\''
0.010764,0.002565,0.018955,0.001327,0.012368,0.009063,0.00151,'\'(5.4-6]\''
0.010764,0.002565,0.018955,0.001327,0.012368,0.009063,0.00151,'\'(5.4-6]\''
0.004854,0.000851,-0.003967,-0.006321,-0.000149,-0.002864,0.011419,'\'(4.8-5.4]\''
-0.008194,0.012264,0.010326,-0.013395,0.024561,0.014559,-0.029305,'\'(5.4-6]\''
0.003666,-0.003548,0.01161,0.005971,0.008654,-0.022613,-0.006535,'\'(4.8-5.4]\''
0.005007,-0.010199,0.012448,-0.002605,0.028743,0.007396,-0.010517,'\'(4.8-5.4]\''
0.01345,-0.00293,-0.010319,0.010601,0.001444,0.012962,0.004887,'\'(4.8-5.4]\''
0.01345,-0.00293,-0.010319,0.010601,0.001444,0.012962,0.004887,'\'(4.8-5.4]\''
0.014484,0.019691,-0.029772,0.041086,-0.012022,0.009605,0.012424,'\'(3.6-4.2]\''
-0.002982,0.008027,-0.010925,0.000215,-0.00694,-0.014769,0.000533,'\'(5.4-6]\''
-0.019855,-0.005277,-0.005639,-0.002193,-0.015951,-0.004413,-0.012546,'\'(5.4-6]\''
0.005007,-0.010199,0.012448,-0.002605,0.028743,0.007396,-0.010517,'\'(4.8-5.4]\''
0.007272,-0.008009,0.013023,0.000668,0.017991,0.003469,-0.00591,'\'(4.8-5.4]\''
0.016468,0.025419,-0.018587,0.005851,-0.003146,0.005134,0.015383,'\'(4.8-5.4]\''
0.004981,0.004806,0.008934,0.006244,0.007841,0.01536,0.008673,'\'(4.8-5.4]\''
-0.023451,0.012172,0.012808,0.019936,-0.009315,0.004451,0.001816,'\'(4.8-5.4]\''
