@relation 'winequality-white_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.5-A12-M-1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R4-precision6'

@attribute '-0.512density+0.437alcohol-0.427residual sugar-0.407total sulfur dioxide-0.3free sulfur dioxide-0.212chlorides-0.157fixed acidity-0.144citric acid+0.129pH-0.043sulphates-0.005volatile acidity' numeric
@attribute '0.588fixed acidity-0.581pH+0.345citric acid-0.29free sulfur dioxide-0.244total sulfur dioxide-0.223sulphates-0.052volatile acidity+0.036alcohol+0.009chlorides-0.009residual sugar-0.006density' numeric
@attribute '-0.591volatile acidity+0.504citric acid+0.433sulphates+0.279free sulfur dioxide-0.214residual sugar-0.129density+0.127pH+0.124total sulfur dioxide+0.121fixed acidity+0.106alcohol-0.102chlorides' numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
-3.676568,0.545178,-0.930327,'\'(5.4-6]\''
0.644522,-0.430726,-0.356294,'\'(5.4-6]\''
-0.155275,1.189678,-0.01753,'\'(5.4-6]\''
-1.455226,-0.09967,-0.001956,'\'(5.4-6]\''
-1.455226,-0.09967,-0.001956,'\'(5.4-6]\''
-0.155275,1.189678,-0.01753,'\'(5.4-6]\''
-0.073829,-0.829234,-1.379887,'\'(5.4-6]\''
-3.676568,0.545178,-0.930327,'\'(5.4-6]\''
0.644522,-0.430726,-0.356294,'\'(5.4-6]\''
0.558607,1.326594,0.914394,'\'(5.4-6]\''
2.252922,2.614806,0.559375,'\'(4.8-5.4]\''
0.031623,1.990781,0.5773,'\'(4.8-5.4]\''
1.596266,1.351302,1.256621,'\'(4.8-5.4]\''
1.578156,-1.51709,2.061933,'\'(6.6-7.2]\''
-3.657708,1.847879,0.416055,'\'(4.8-5.4]\''
1.71939,-0.03604,1.332779,'\'(6.6-7.2]\''
1.335971,-0.972994,-2.943949,'\'(5.4-6]\''
3.043663,-0.036687,-1.570783,'\'(7.8-8.4]\''
0.977699,0.933957,0.415445,'\'(5.4-6]\''
-0.295192,-0.941306,-1.208056,'\'(4.8-5.4]\''
3.043663,-0.036687,-1.570783,'\'(7.8-8.4]\''
1.727856,0.651054,-0.633354,'\'(6.6-7.2]\''
0.743791,-0.841486,0.927568,'\'(7.8-8.4]\''
-0.391848,0.247932,-3.137141,'\'(4.8-5.4]\''
0.471491,-0.507398,0.235495,'\'(5.4-6]\''
-1.860216,-1.158793,0.684946,'\'(5.4-6]\''
0.536164,-0.853682,0.542994,'\'(5.4-6]\''
-0.516895,-0.522408,0.297017,'\'(5.4-6]\''
1.379966,1.188517,0.841854,'\'(5.4-6]\''
1.661724,0.375058,1.177716,'\'(6.6-7.2]\''
-1.220877,1.4117,0.263836,'\'(5.4-6]\''
1.857581,1.192182,0.446726,'\'(5.4-6]\''
1.105765,0.873881,0.256551,'\'(5.4-6]\''
0.285129,-1.333647,1.278077,'\'(5.4-6]\''
-0.783834,-1.614158,-1.53913,'\'(4.8-5.4]\''
1.709187,1.139915,0.296262,'\'(4.8-5.4]\''
0.319393,-0.422783,-1.766,'\'(4.8-5.4]\''
1.17033,0.662868,-0.751493,'\'(5.4-6]\''
-3.119976,0.348878,-0.722918,'\'(4.8-5.4]\''
-3.119976,0.348878,-0.722918,'\'(4.8-5.4]\''
-1.966412,0.071407,-0.061717,'\'(5.4-6]\''
-2.001689,0.149256,-0.229175,'\'(5.4-6]\''
-0.855643,0.14028,-0.965674,'\'(5.4-6]\''
0.095055,-0.653766,0.313081,'\'(5.4-6]\''
0.057647,-0.694814,0.352991,'\'(5.4-6]\''
-0.150935,0.181695,0.959771,'\'(6.6-7.2]\''
-1.124802,-2.000628,-0.631361,'\'(3.6-4.2]\''
-1.134386,-1.944544,-0.771688,'\'(4.8-5.4]\''
-0.855643,0.14028,-0.965674,'\'(5.4-6]\''
-0.434339,-0.542179,0.532008,'\'(4.8-5.4]\''
0.936114,-0.380159,0.772243,'\'(5.4-6]\''
1.12103,-0.991994,0.707645,'\'(6.6-7.2]\''
2.040412,-0.257029,0.513766,'\'(6.6-7.2]\''
1.55273,-0.279306,0.5106,'\'(5.4-6]\''
-1.199557,1.480646,0.690077,'\'(5.4-6]\''
0.740022,0.088882,0.782068,'\'(5.4-6]\''
-2.033268,0.151366,0.284003,'\'(5.4-6]\''
-1.589506,-1.301596,-0.587629,'\'(5.4-6]\''
1.211262,0.278342,-2.132603,'\'(5.4-6]\''
0.722204,0.124431,0.547239,'\'(5.4-6]\''
-0.944199,0.532987,-0.801865,'\'(5.4-6]\''
-1.589506,-1.301596,-0.587629,'\'(5.4-6]\''
1.456609,0.439856,-2.774727,'\'(4.8-5.4]\''
1.211262,0.278342,-2.132603,'\'(5.4-6]\''
0.87227,0.451977,0.028486,'\'(5.4-6]\''
0.64094,-1.390825,-1.683747,'\'(4.8-5.4]\''
1.94274,-0.408418,-0.135167,'\'(6.6-7.2]\''
-0.312496,-1.347832,0.10944,'\'(4.8-5.4]\''
1.292522,-0.640968,0.895394,'\'(7.8-8.4]\''
-0.557192,1.167615,-1.151677,'\'(4.8-5.4]\''
-2.334488,-0.746493,0.567915,'\'(5.4-6]\''
-1.683176,-1.926912,0.342103,'\'(4.8-5.4]\''
-0.576306,-3.403099,0.908474,'\'(4.8-5.4]\''
0.283338,3.317652,0.296899,'\'(5.4-6]\''
1.292522,-0.640968,0.895394,'\'(7.8-8.4]\''
-0.557192,1.167615,-1.151677,'\'(4.8-5.4]\''
2.549942,0.700518,0.697574,'\'(6.6-7.2]\''
2.418015,0.030861,0.53867,'\'(6.6-7.2]\''
-0.957416,1.477087,-0.067661,'\'(4.8-5.4]\''
0.025524,-0.079863,-2.694731,'\'(4.8-5.4]\''
0.937522,-1.222021,1.605856,'\'(5.4-6]\''
-2.696163,-0.560042,0.561169,'\'(5.4-6]\''
-0.753189,-0.392683,-1.036879,'\'(4.8-5.4]\''
-1.646674,-0.79085,0.298824,'\'(5.4-6]\''
-2.592262,0.775021,-0.092856,'\'(4.8-5.4]\''
-2.543313,0.791167,-0.10473,'\'(5.4-6]\''
-2.596052,0.996915,0.242515,'\'(5.4-6]\''
-2.58778,-1.1767,0.267029,'\'(5.4-6]\''
-2.592262,0.775021,-0.092856,'\'(4.8-5.4]\''
-2.543313,0.791167,-0.10473,'\'(5.4-6]\''
-2.596052,0.996915,0.242515,'\'(5.4-6]\''
-2.498125,-1.10207,0.735984,'\'(4.8-5.4]\''
1.839679,-0.175243,0.7197,'\'(6.6-7.2]\''
1.829581,-0.158298,0.946376,'\'(6.6-7.2]\''
0.787017,0.19401,1.198266,'\'(6.6-7.2]\''
-2.983412,-0.333326,-0.178302,'\'(5.4-6]\''
-2.432545,0.40643,0.075393,'\'(5.4-6]\''
1.740793,3.183639,-0.292473,'\'(6.6-7.2]\''
-0.489243,4.713315,-1.419478,'\'(3.6-4.2]\''
-2.432545,0.40643,0.075393,'\'(5.4-6]\''
-2.925963,0.670659,-0.161463,'\'(4.8-5.4]\''
-1.660374,-1.11249,0.955101,'\'(4.8-5.4]\''
-1.577224,-1.748246,-0.453937,'\'(4.8-5.4]\''
-3.555862,1.042167,-0.812892,'\'(4.8-5.4]\''
-2.925963,0.670659,-0.161463,'\'(4.8-5.4]\''
-1.460713,0.707417,-0.376111,'\'(5.4-6]\''
-1.660374,-1.11249,0.955101,'\'(4.8-5.4]\''
-3.021354,-0.526093,0.505064,'\'(5.4-6]\''
-3.021354,-0.526093,0.505064,'\'(5.4-6]\''
0.115236,-0.980007,0.363587,'\'(4.8-5.4]\''
-2.590961,1.065017,0.868372,'\'(5.4-6]\''
-4.335731,0.202254,0.164681,'\'(4.8-5.4]\''
-3.389116,0.484255,0.399287,'\'(4.8-5.4]\''
-1.209963,-0.329716,-1.112299,'\'(4.8-5.4]\''
-1.209963,-0.329716,-1.112299,'\'(4.8-5.4]\''
1.812362,-2.866281,-3.274917,'\'(3.6-4.2]\''
1.565551,-1.070611,-0.610503,'\'(5.4-6]\''
2.238527,1.172562,0.85443,'\'(5.4-6]\''
-3.389116,0.484255,0.399287,'\'(4.8-5.4]\''
-3.224385,0.501314,0.214199,'\'(4.8-5.4]\''
1.339166,-1.174912,-2.096889,'\'(4.8-5.4]\''
-2.369382,1.048072,-0.169667,'\'(4.8-5.4]\''
-0.433408,0.366352,-0.107059,'\'(4.8-5.4]\''
-0.204566,0.067747,-0.608148,'\'(5.4-6]\''
-0.361014,0.132563,1.007067,'\'(5.4-6]\''
0.836536,-0.762562,1.582556,'\'(5.4-6]\''
0.304111,0.519219,-1.42247,'\'(4.8-5.4]\''
-1.172374,-1.993755,0.760381,'\'(6.6-7.2]\''
0.075481,-0.891908,1.677597,'\'(6.6-7.2]\''
0.042848,-0.941068,1.679045,'\'(5.4-6]\''
1.759812,-0.64198,-1.43902,'\'(4.8-5.4]\''
-1.172374,-1.993755,0.760381,'\'(6.6-7.2]\''
