@relation 'winequality-white_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A12-M-1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R7-precision6'

@attribute '-0.512density+0.437alcohol-0.427residual sugar-0.407total sulfur dioxide-0.3free sulfur dioxide-0.212chlorides-0.157fixed acidity-0.144citric acid+0.129pH-0.043sulphates-0.005volatile acidity' numeric
@attribute '0.588fixed acidity-0.581pH+0.345citric acid-0.29free sulfur dioxide-0.244total sulfur dioxide-0.223sulphates-0.052volatile acidity+0.036alcohol+0.009chlorides-0.009residual sugar-0.006density' numeric
@attribute '-0.591volatile acidity+0.504citric acid+0.433sulphates+0.279free sulfur dioxide-0.214residual sugar-0.129density+0.127pH+0.124total sulfur dioxide+0.121fixed acidity+0.106alcohol-0.102chlorides' numeric
@attribute '-0.711chlorides-0.442sulphates+0.306free sulfur dioxide-0.274volatile acidity+0.274residual sugar-0.149citric acid+0.141alcohol-0.098pH+0.06 total sulfur dioxide+0.022density-0.019fixed acidity' numeric
@attribute '0.643volatile acidity+0.401sulphates+0.337alcohol-0.329chlorides+0.293total sulfur dioxide+0.251fixed acidity+0.177free sulfur dioxide-0.12pH-0.085density+0.054citric acid+0.011residual sugar' numeric
@attribute '0.494free sulfur dioxide-0.481sulphates+0.396chlorides-0.328density-0.289residual sugar+0.276total sulfur dioxide-0.193pH+0.139alcohol+0.132citric acid+0.122volatile acidity-0.104fixed acidity' numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
-3.676568,0.545178,-0.930327,1.135258,-0.292825,-0.891529,'\'(5.4-6]\''
0.644522,-0.430726,-0.356294,-0.999015,-0.714005,-0.483688,'\'(5.4-6]\''
-0.155275,1.189678,-0.01753,-0.270192,-0.367668,-0.50063,'\'(5.4-6]\''
-1.455226,-0.09967,-0.001956,0.422979,-0.469933,0.769182,'\'(5.4-6]\''
-1.455226,-0.09967,-0.001956,0.422979,-0.469933,0.769182,'\'(5.4-6]\''
-0.155275,1.189678,-0.01753,-0.270192,-0.367668,-0.50063,'\'(5.4-6]\''
-0.073829,-0.829234,-1.379887,0.057712,-0.403122,-0.38236,'\'(5.4-6]\''
-3.676568,0.545178,-0.930327,1.135258,-0.292825,-0.891529,'\'(5.4-6]\''
0.644522,-0.430726,-0.356294,-0.999015,-0.714005,-0.483688,'\'(5.4-6]\''
0.558607,1.326594,0.914394,-0.149788,-0.108514,0.062005,'\'(5.4-6]\''
2.252922,2.614806,0.559375,-0.490108,0.662463,-0.746315,'\'(4.8-5.4]\''
0.031623,1.990781,0.5773,-0.339256,-0.057862,-1.26745,'\'(4.8-5.4]\''
1.596266,1.351302,1.256621,-0.849008,-0.227788,-1.315791,'\'(4.8-5.4]\''
1.578156,-1.51709,2.061933,0.12553,-0.196921,0.551508,'\'(6.6-7.2]\''
-3.657708,1.847879,0.416055,-0.346947,2.267661,-1.408486,'\'(4.8-5.4]\''
1.71939,-0.03604,1.332779,0.068146,-0.327768,-0.348888,'\'(6.6-7.2]\''
1.335971,-0.972994,-2.943949,-0.264226,-0.064461,0.399705,'\'(5.4-6]\''
3.043663,-0.036687,-1.570783,-0.61938,2.342518,1.126774,'\'(7.8-8.4]\''
0.977699,0.933957,0.415445,-0.476345,1.28536,0.114255,'\'(5.4-6]\''
-0.295192,-0.941306,-1.208056,0.08083,-0.320276,-0.657701,'\'(4.8-5.4]\''
3.043663,-0.036687,-1.570783,-0.61938,2.342518,1.126774,'\'(7.8-8.4]\''
1.727856,0.651054,-0.633354,0.175408,-0.48691,0.469748,'\'(6.6-7.2]\''
0.743791,-0.841486,0.927568,-0.487164,-0.440039,0.255271,'\'(7.8-8.4]\''
-0.391848,0.247932,-3.137141,-2.298988,2.151197,0.846162,'\'(4.8-5.4]\''
0.471491,-0.507398,0.235495,-1.008341,-0.800331,-0.419118,'\'(5.4-6]\''
-1.860216,-1.158793,0.684946,0.666379,0.723418,0.786574,'\'(5.4-6]\''
0.536164,-0.853682,0.542994,-0.447546,-0.774241,0.355828,'\'(5.4-6]\''
-0.516895,-0.522408,0.297017,-0.443604,-0.084128,-0.714231,'\'(5.4-6]\''
1.379966,1.188517,0.841854,-0.728705,0.281117,0.240639,'\'(5.4-6]\''
1.661724,0.375058,1.177716,-0.594809,1.841668,-0.290836,'\'(6.6-7.2]\''
-1.220877,1.4117,0.263836,-0.193787,0.067252,-1.481582,'\'(5.4-6]\''
1.857581,1.192182,0.446726,-0.339524,-1.935692,-1.471101,'\'(5.4-6]\''
1.105765,0.873881,0.256551,-0.260948,-0.429653,0.33899,'\'(5.4-6]\''
0.285129,-1.333647,1.278077,-0.096048,-1.792449,-0.294574,'\'(5.4-6]\''
-0.783834,-1.614158,-1.53913,0.875185,-0.950961,-0.671414,'\'(4.8-5.4]\''
1.709187,1.139915,0.296262,-1.272301,-0.113842,1.361339,'\'(4.8-5.4]\''
0.319393,-0.422783,-1.766,-0.117291,-0.20935,0.519931,'\'(4.8-5.4]\''
1.17033,0.662868,-0.751493,0.309872,-0.133372,1.944828,'\'(5.4-6]\''
-3.119976,0.348878,-0.722918,0.786378,-1.219216,-0.485871,'\'(4.8-5.4]\''
-3.119976,0.348878,-0.722918,0.786378,-1.219216,-0.485871,'\'(4.8-5.4]\''
-1.966412,0.071407,-0.061717,-3.301123,-2.502609,4.020419,'\'(5.4-6]\''
-2.001689,0.149256,-0.229175,-3.256738,-2.522157,4.118449,'\'(5.4-6]\''
-0.855643,0.14028,-0.965674,-0.718633,-0.354496,0.200417,'\'(5.4-6]\''
0.095055,-0.653766,0.313081,-0.881512,-0.497557,0.042213,'\'(5.4-6]\''
0.057647,-0.694814,0.352991,-0.951939,-0.583223,0.048638,'\'(5.4-6]\''
-0.150935,0.181695,0.959771,-0.496243,-0.395994,0.468654,'\'(6.6-7.2]\''
-1.124802,-2.000628,-0.631361,-0.687542,1.203922,1.568938,'\'(3.6-4.2]\''
-1.134386,-1.944544,-0.771688,-0.804391,1.23329,1.6385,'\'(4.8-5.4]\''
-0.855643,0.14028,-0.965674,-0.718633,-0.354496,0.200417,'\'(5.4-6]\''
-0.434339,-0.542179,0.532008,-0.736681,-1.212865,-0.017688,'\'(4.8-5.4]\''
0.936114,-0.380159,0.772243,-0.345429,-0.443868,0.883717,'\'(5.4-6]\''
1.12103,-0.991994,0.707645,-1.237241,-0.278844,0.435911,'\'(6.6-7.2]\''
2.040412,-0.257029,0.513766,-0.594758,-1.686619,-0.012413,'\'(6.6-7.2]\''
1.55273,-0.279306,0.5106,0.500565,-1.324921,0.955368,'\'(5.4-6]\''
-1.199557,1.480646,0.690077,-3.304659,-2.586556,2.967737,'\'(5.4-6]\''
0.740022,0.088882,0.782068,-0.083758,0.604718,0.660175,'\'(5.4-6]\''
-2.033268,0.151366,0.284003,0.630445,0.057992,-0.207393,'\'(5.4-6]\''
-1.589506,-1.301596,-0.587629,1.146934,-1.734314,-0.028422,'\'(5.4-6]\''
1.211262,0.278342,-2.132603,0.078076,-0.393233,-0.039098,'\'(5.4-6]\''
0.722204,0.124431,0.547239,0.647282,-1.10841,0.595147,'\'(5.4-6]\''
-0.944199,0.532987,-0.801865,-1.419794,-1.823755,0.495912,'\'(5.4-6]\''
-1.589506,-1.301596,-0.587629,1.146934,-1.734314,-0.028422,'\'(5.4-6]\''
1.456609,0.439856,-2.774727,0.218744,0.884199,0.760303,'\'(4.8-5.4]\''
