@relation 'winequality-white_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A12-M-1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R10-precision6'

@attribute '-0.512density+0.437alcohol-0.427residual sugar-0.407total sulfur dioxide-0.3free sulfur dioxide-0.212chlorides-0.157fixed acidity-0.144citric acid+0.129pH-0.043sulphates-0.005volatile acidity' numeric
@attribute '0.588fixed acidity-0.581pH+0.345citric acid-0.29free sulfur dioxide-0.244total sulfur dioxide-0.223sulphates-0.052volatile acidity+0.036alcohol+0.009chlorides-0.009residual sugar-0.006density' numeric
@attribute '-0.591volatile acidity+0.504citric acid+0.433sulphates+0.279free sulfur dioxide-0.214residual sugar-0.129density+0.127pH+0.124total sulfur dioxide+0.121fixed acidity+0.106alcohol-0.102chlorides' numeric
@attribute '-0.711chlorides-0.442sulphates+0.306free sulfur dioxide-0.274volatile acidity+0.274residual sugar-0.149citric acid+0.141alcohol-0.098pH+0.06 total sulfur dioxide+0.022density-0.019fixed acidity' numeric
@attribute '0.643volatile acidity+0.401sulphates+0.337alcohol-0.329chlorides+0.293total sulfur dioxide+0.251fixed acidity+0.177free sulfur dioxide-0.12pH-0.085density+0.054citric acid+0.011residual sugar' numeric
@attribute '0.494free sulfur dioxide-0.481sulphates+0.396chlorides-0.328density-0.289residual sugar+0.276total sulfur dioxide-0.193pH+0.139alcohol+0.132citric acid+0.122volatile acidity-0.104fixed acidity' numeric
@attribute '0.705citric acid+0.427pH-0.309sulphates+0.269volatile acidity+0.213residual sugar-0.198fixed acidity-0.167free sulfur dioxide+0.129alcohol+0.11 density-0.079chlorides-0.068total sulfur dioxide' numeric
@attribute '-0.588fixed acidity-0.534pH+0.388residual sugar+0.27 sulphates-0.247total sulfur dioxide+0.196alcohol+0.152citric acid+0.1  chlorides+0.082free sulfur dioxide-0.069density-0.028volatile acidity' numeric
@attribute '0.621alcohol+0.409residual sugar+0.394chlorides+0.331fixed acidity+0.261pH-0.202citric acid-0.155total sulfur dioxide-0.146volatile acidity+0.144free sulfur dioxide+0.088density-0.012sulphates' numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
-3.676568,0.545178,-0.930327,1.135258,-0.292825,-0.891529,0.204643,1.025079,0.150594,'\'(5.4-6]\''
0.644522,-0.430726,-0.356294,-0.999015,-0.714005,-0.483688,0.436953,-0.58487,-1.063441,'\'(5.4-6]\''
-0.155275,1.189678,-0.01753,-0.270192,-0.367668,-0.50063,0.554262,-0.974803,0.549598,'\'(5.4-6]\''
-1.455226,-0.09967,-0.001956,0.422979,-0.469933,0.769182,-0.197682,-0.601591,0.293214,'\'(5.4-6]\''
-1.455226,-0.09967,-0.001956,0.422979,-0.469933,0.769182,-0.197682,-0.601591,0.293214,'\'(5.4-6]\''
-0.155275,1.189678,-0.01753,-0.270192,-0.367668,-0.50063,0.554262,-0.974803,0.549598,'\'(5.4-6]\''
-0.073829,-0.829234,-1.379887,0.057712,-0.403122,-0.38236,-0.699487,0.073376,-0.475426,'\'(5.4-6]\''
-3.676568,0.545178,-0.930327,1.135258,-0.292825,-0.891529,0.204643,1.025079,0.150594,'\'(5.4-6]\''
0.644522,-0.430726,-0.356294,-0.999015,-0.714005,-0.483688,0.436953,-0.58487,-1.063441,'\'(5.4-6]\''
0.558607,1.326594,0.914394,-0.149788,-0.108514,0.062005,0.238808,-1.218433,0.255367,'\'(5.4-6]\''
2.252922,2.614806,0.559375,-0.490108,0.662463,-0.746315,-0.388588,0.292596,0.11746,'\'(4.8-5.4]\''
0.031623,1.990781,0.5773,-0.339256,-0.057862,-1.26745,-0.286496,-1.134017,-0.254351,'\'(4.8-5.4]\''
1.596266,1.351302,1.256621,-0.849008,-0.227788,-1.315791,-0.652503,-0.350393,0.092061,'\'(4.8-5.4]\''
1.578156,-1.51709,2.061933,0.12553,-0.196921,0.551508,0.803838,-0.861484,1.100045,'\'(6.6-7.2]\''
-3.657708,1.847879,0.416055,-0.346947,2.267661,-1.408486,1.223114,0.992535,0.134055,'\'(4.8-5.4]\''
1.71939,-0.03604,1.332779,0.068146,-0.327768,-0.348888,0.004005,0.072373,-0.157617,'\'(6.6-7.2]\''
1.335971,-0.972994,-2.943949,-0.264226,-0.064461,0.399705,-0.797364,-0.848328,-0.73734,'\'(5.4-6]\''
3.043663,-0.036687,-1.570783,-0.61938,2.342518,1.126774,2.762114,0.134239,-0.328978,'\'(7.8-8.4]\''
