@relation winequality-white-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P25.0-R42-DSparse1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R3-precision6

@attribute K1 numeric
@attribute K2 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
38.210773,295.150118,'\'(5.4-6]\''
5.081837,229.304474,'\'(5.4-6]\''
14.367535,168.788351,'\'(5.4-6]\''
17.001118,322.816165,'\'(5.4-6]\''
17.001118,322.816165,'\'(5.4-6]\''
14.367535,168.788351,'\'(5.4-6]\''
14.124701,235.91398,'\'(5.4-6]\''
38.210773,295.150118,'\'(5.4-6]\''
5.081837,229.304474,'\'(5.4-6]\''
5.06417,224.255546,'\'(5.4-6]\''
4.93773,109.886499,'\'(4.8-5.4]\''
9.690305,189.54698,'\'(4.8-5.4]\''
4.437514,130.613951,'\'(4.8-5.4]\''
5.007705,248.452296,'\'(6.6-7.2]\''
36.148247,299.055892,'\'(4.8-5.4]\''
4.973411,194.703295,'\'(6.6-7.2]\''
3.694118,171.621986,'\'(5.4-6]\''
4.62319,130.785424,'\'(7.8-8.4]\''
4.350392,296.965307,'\'(5.4-6]\''
14.957125,230.681455,'\'(4.8-5.4]\''
4.62319,130.785424,'\'(7.8-8.4]\''
7.397935,177.39318,'\'(6.6-7.2]\''
5.391874,212.12253,'\'(7.8-8.4]\''
4.561702,291.355195,'\'(4.8-5.4]\''
4.685371,246.751422,'\'(5.4-6]\''
17.86697,424.986378,'\'(5.4-6]\''
4.058195,253.575702,'\'(5.4-6]\''
17.469638,244.982998,'\'(5.4-6]\''
4.453795,229.543497,'\'(5.4-6]\''
5.803409,198.134488,'\'(6.6-7.2]\''
20.416376,246.702925,'\'(5.4-6]\''
4.214772,82.068031,'\'(5.4-6]\''
5.892437,173.915222,'\'(5.4-6]\''
4.908459,203.316784,'\'(5.4-6]\''
27.966039,310.459715,'\'(4.8-5.4]\''
5.404865,213.925595,'\'(4.8-5.4]\''
11.472065,258.562277,'\'(4.8-5.4]\''
4.348487,239.669066,'\'(5.4-6]\''
33.497689,258.849797,'\'(4.8-5.4]\''
33.497689,258.849797,'\'(4.8-5.4]\''
6.726766,274.63744,'\'(5.4-6]\''
7.419586,272.907121,'\'(5.4-6]\''
14.991593,277.697974,'\'(5.4-6]\''
4.613144,263.838103,'\'(5.4-6]\''
4.595824,267.290081,'\'(5.4-6]\''
4.681907,289.88988,'\'(6.6-7.2]\''
9.793015,357.361919,'\'(3.6-4.2]\''
9.775522,359.081845,'\'(4.8-5.4]\''
14.991593,277.697974,'\'(5.4-6]\''
10.989862,260.529886,'\'(4.8-5.4]\''
5.025892,300.289113,'\'(5.4-6]\''
4.124706,215.394374,'\'(6.6-7.2]\''
4.193295,142.69847,'\'(6.6-7.2]\''
4.054904,187.745647,'\'(5.4-6]\''
4.300682,229.907228,'\'(5.4-6]\''
4.574,331.495472,'\'(5.4-6]\''
22.925771,369.590197,'\'(5.4-6]\''
23.654964,255.14494,'\'(5.4-6]\''
9.947341,135.435981,'\'(5.4-6]\''
4.421233,192.946996,'\'(5.4-6]\''
10.626305,213.61729,'\'(5.4-6]\''
23.654964,255.14494,'\'(5.4-6]\''
3.742962,261.721537,'\'(4.8-5.4]\''
9.947341,135.435981,'\'(5.4-6]\''
4.611932,211.84367,'\'(5.4-6]\''
3.851042,208.00891,'\'(4.8-5.4]\''
13.216067,215.259274,'\'(6.6-7.2]\''
4.021822,301.673021,'\'(4.8-5.4]\''
5.893476,166.893488,'\'(7.8-8.4]\''
19.721477,182.454232,'\'(4.8-5.4]\''
15.979208,423.462174,'\'(5.4-6]\''
10.090582,413.598144,'\'(4.8-5.4]\''
