@relation winequality-white-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P50.0-R42-DSparse1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R6-precision6

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
38.210773,295.150118,-10.390573,-278.427167,77.942286,'\'(5.4-6]\''
5.081837,229.304474,-9.190262,-211.327519,24.248711,'\'(5.4-6]\''
14.367535,168.788351,-12.306048,-149.753113,51.961524,'\'(5.4-6]\''
17.001118,322.816165,-10.746336,-304.321327,81.406388,'\'(5.4-6]\''
17.001118,322.816165,-10.746336,-304.321327,81.406388,'\'(5.4-6]\''
14.367535,168.788351,-12.306048,-149.753113,51.961524,'\'(5.4-6]\''
14.124701,235.91398,-9.015498,-218.117158,51.961524,'\'(5.4-6]\''
38.210773,295.150118,-10.390573,-278.427167,77.942286,'\'(5.4-6]\''
5.081837,229.304474,-9.190262,-211.327519,24.248711,'\'(5.4-6]\''
5.06417,224.255546,-12.308299,-203.602572,48.497423,'\'(5.4-6]\''
4.93773,109.886499,-12.313496,-87.364643,19.052559,'\'(4.8-5.4]\''
9.690305,189.54698,-13.172766,-171.074658,29.444864,'\'(4.8-5.4]\''
4.437514,130.613951,-11.965007,-110.10647,27.712813,'\'(4.8-5.4]\''
5.007705,248.452296,-9.714727,-225.305169,83.138439,'\'(6.6-7.2]\''
36.148247,299.055892,-12.643624,-279.951372,71.014083,'\'(4.8-5.4]\''
4.973411,194.703295,-9.71438,-173.291683,48.497423,'\'(6.6-7.2]\''
3.694118,171.621986,-9.19234,-154.221804,51.961524,'\'(5.4-6]\''
4.62319,130.785424,-9.02537,-107.05806,50.229473,'\'(7.8-8.4]\''
4.350392,296.965307,-11.099501,-275.690527,29.444864,'\'(5.4-6]\''
14.957125,230.681455,-9.534074,-213.042249,58.889727,'\'(4.8-5.4]\''
4.62319,130.785424,-9.02537,-107.05806,50.229473,'\'(7.8-8.4]\''
7.397935,177.39318,-9.368316,-157.010406,32.908965,'\'(6.6-7.2]\''
5.391874,212.12253,-10.058019,-192.292281,71.014083,'\'(7.8-8.4]\''
4.561702,291.355195,-11.442447,-273.993117,43.30127,'\'(4.8-5.4]\''
4.685371,246.751422,-9.707972,-227.816643,27.712813,'\'(5.4-6]\''
17.86697,424.986378,-10.400099,-405.473094,96.994845,'\'(5.4-6]\''
4.058195,253.575702,-10.231224,-234.796807,60.621778,'\'(5.4-6]\''
17.469638,244.982998,-10.39906,-225.114643,55.425626,'\'(5.4-6]\''
4.453795,229.543497,-11.100021,-207.690212,29.444864,'\'(5.4-6]\''
5.803409,198.134488,-10.754996,-174.919811,64.08588,'\'(6.6-7.2]\''
20.416376,246.702925,-12.994884,-227.71272,34.641016,'\'(5.4-6]\''
4.214772,82.068031,-12.655402,-63.046649,12.124356,'\'(5.4-6]\''
5.892437,173.915222,-11.098982,-153.73683,53.693575,'\'(5.4-6]\''
4.908459,203.316784,-9.01723,-186.178141,74.478185,'\'(5.4-6]\''
27.966039,310.459715,-8.320426,-291.729318,38.105118,'\'(4.8-5.4]\''
5.404865,213.925595,-10.928375,-190.144538,36.373067,'\'(4.8-5.4]\''
11.472065,258.562277,-9.537711,-240.148844,43.30127,'\'(4.8-5.4]\''
4.348487,239.669066,-10.408586,-219.139068,65.817931,'\'(5.4-6]\''
33.497689,258.849797,-10.912093,-242.556395,77.942286,'\'(4.8-5.4]\''
33.497689,258.849797,-10.912093,-242.556395,77.942286,'\'(4.8-5.4]\''
6.726766,274.63744,-9.883602,-256.759212,109.119201,'\'(5.4-6]\''
7.419586,272.907121,-9.883602,-255.061802,109.119201,'\'(5.4-6]\''
14.991593,277.697974,-10.400272,-259.357288,48.497423,'\'(5.4-6]\''
4.613144,263.838103,-9.710916,-245.847292,57.157677,'\'(5.4-6]\''
4.595824,267.290081,-9.884121,-249.311393,57.157677,'\'(5.4-6]\''
4.681907,289.88988,-11.097076,-271.01399,65.817931,'\'(6.6-7.2]\''
9.793015,357.361919,-9.017057,-338.927702,109.119201,'\'(3.6-4.2]\''
9.775522,359.081845,-9.01723,-340.659753,107.38715,'\'(4.8-5.4]\''
14.991593,277.697974,-10.400272,-259.357288,48.497423,'\'(5.4-6]\''
