@relation winequality-white-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-P75.0-R42-DSparse1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R9-precision6

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute quality {'\'(-inf-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-6]\'','\'(6-6.6]\'','\'(6.6-7.2]\'','\'(7.2-7.8]\'','\'(7.8-8.4]\'','\'(8.4-inf)\''}

@data
38.210773,295.150118,-10.390573,-278.427167,77.942286,294.292753,-12.124356,382.904472,'\'(5.4-6]\''
5.081837,229.304474,-9.190262,-211.327519,24.248711,228.370899,-10.91192,264.137748,'\'(5.4-6]\''
14.367535,168.788351,-12.306048,-149.753113,51.961524,167.939646,-14.029612,232.302654,'\'(5.4-6]\''
17.001118,322.816165,-10.746336,-304.321327,81.406388,322.022886,-12.470766,415.588271,'\'(5.4-6]\''
17.001118,322.816165,-10.746336,-304.321327,81.406388,322.022886,-12.470766,415.588271,'\'(5.4-6]\''
14.367535,168.788351,-12.306048,-149.753113,51.961524,167.939646,-14.029612,232.302654,'\'(5.4-6]\''
14.124701,235.91398,-9.015498,-218.117158,51.961524,235.021974,-10.738715,299.194456,'\'(5.4-6]\''
38.210773,295.150118,-10.390573,-278.427167,77.942286,294.292753,-12.124356,382.904472,'\'(5.4-6]\''
5.081837,229.304474,-9.190262,-211.327519,24.248711,228.370899,-10.91192,264.137748,'\'(5.4-6]\''
5.06417,224.255546,-12.308299,-203.602572,48.497423,223.399913,-14.029612,285.788383,'\'(5.4-6]\''
4.93773,109.886499,-12.313496,-87.364643,19.052559,108.859393,-14.029612,144.245191,'\'(4.8-5.4]\''
9.690305,189.54698,-13.172766,-171.074658,29.444864,188.568371,-14.895637,229.999027,'\'(4.8-5.4]\''
4.437514,130.613951,-11.965007,-110.10647,27.712813,129.453477,-13.683201,171.12662,'\'(4.8-5.4]\''
5.007705,248.452296,-9.714727,-225.305169,83.138439,247.475419,-11.431535,346.444803,'\'(6.6-7.2]\''
36.148247,299.055892,-12.643624,-279.951372,71.014083,297.826136,-14.376022,381.293665,'\'(4.8-5.4]\''
4.973411,194.703295,-9.71438,-173.291683,48.497423,193.695242,-11.431535,256.897776,'\'(6.6-7.2]\''
3.694118,171.621986,-9.19234,-154.221804,51.961524,170.918774,-10.91192,235.281782,'\'(5.4-6]\''
